"","ID","Peptide","Gene"
"1","O14965","STK6_283_295","AURKA"
"2","O96001","GSUB_61_73","PPP1R17"
"3","P03372","ESR1_160_172","ESR1"
"4","P04004","VTNC_390_402","VTN"
"5","P07333","CSF1R_701_713","CSF1R"
"6","P07550","ADRB2_338_350","ADRB2"
"7","P10275","ANDR_785_797","AR"
"8","P11388","TOP2A_1463_1475","TOP2A"
"9","P13569","CFTR_730_742","CFTR"
"10","P13569","CFTR_761_773","CFTR"
"11","P13861","KAP2_92_104","PRKAR2A"
"12","P14598","NCF1_296_308","NCF1"
"13","P16389","KCNA2_442_454","KCNA2"
"14","P17658","KCNA6_504_516","KCNA6"
"15","P20700","LMNB1_16_28","LMNB1"
"16","P22612","KAPCG_192_206","PRKACG"
"17","P26842","CD27_212_224","CD27"
"18","P29474","NOS3_1171_1183","NOS3"
"19","P31323","KAP3_107_119","PRKAR2B"
"20","P38936","CDN1A_139_151","CDKN1A"
"21","P50552","VASP_271_283","VASP"
"22","P50552","VASP_232_244","VASP"
"23","P50552","pVASP_150_164","VASP"
"24","P50552","VASP_150_162","VASP"
"25","P62753","RS6_228_240","RPS6"
"26","Q05209","PTN12_32_44","PTPN12"
"27","Q08999","RBL2_632_644","RBL2"
"28","Q08999","RBL2_655_667","RBL2"
"29","Q08999","RBL2_959_971","RBL2"
"30","Q13002","GRIK2_708_720","GRIK2"
"31","Q13555","KCC2G_278_289","CAMK2G"
"32","Q13882","PTK6_436_448","PTK6"
"33","Q16288","NTRK3_824_836","NTRK3"
"34","Q16875","F263_454_466","PFKFB3"
"35","Q71DI3","H32_3_18","H3C13"
"36","Q71DI3","H32_3_18","H3C14"
"37","Q71DI3","H32_3_18","H3C15"
"38","Q92934","BAD_112_124","BAD"
"39","Q92934","BAD_69_81","BAD"
"40","Q92934","BAD_93_105","BAD"
"41","Q99661","KIF2C_105_118_S106G","KIF2C"
