"","ID","Peptide","Gene"
"1","O14874","BCKD_45_57","BCKDK"
"2","O14965","STK6_283_295","AURKA"
"3","O43602","DCX_49_61","DCX"
"4","P01233","CGHB_109_121","CGB3"
"5","P01233","CGHB_109_121","CGB5"
"6","P01233","CGHB_109_121","CGB7"
"7","P01233","CGHB_109_121","CGB8"
"8","P03372","ESR1_160_172","ESR1"
"9","P04004","VTNC_390_402","VTN"
"10","P04049","RAF1_253_265","RAF1"
"11","P04626","ERBB2_679_691","ERBB2"
"12","P04637","P53_12_24","TP53"
"13","P04637","P53_308_323","TP53"
"14","P06400","RB_242_254","RB1"
"15","P06400","RB_803_815","RB1"
"16","P06400","RB_350_362","RB1"
"17","P06400","RB_774_786","RB1"
"18","P06493","CDC2_154_169","CDK1"
"19","P07333","CSF1R_701_713","CSF1R"
"20","P07550","ADRB2_338_350","ADRB2"
"21","P08567","PLEK_106_118","PLEK"
"22","P10275","ANDR_785_797","AR"
"23","P10636","TAU_524_536","MAPT"
"24","P11388","TOP2A_1463_1475","TOP2A"
"25","P13569","CFTR_730_742","CFTR"
"26","P13569","CFTR_761_773","CFTR"
"27","P13861","KAP2_92_104","PRKAR2A"
"28","P14598","NCF1_296_308","NCF1"
"29","P16220","CREB1_126_138","CREB1"
"30","P16452","EPB42_241_253","EPB42"
"31","P17658","KCNA6_504_516","KCNA6"
"32","P21817","RYR1_4317_4329","RYR1"
"33","P22001","KCNA3_461_473","KCNA3"
"34","P29474","NOS3_1171_1183","NOS3"
"35","P31323","KAP3_107_119","PRKAR2B"
"36","P31749","AKT1_301_313","AKT1"
"37","P35612","ADDB_696_708","ADD2"
"38","P35612","ADDB_706_718","ADD2"
"39","P38936","CDN1A_139_151","CDKN1A"
"40","P46095","GPR6_349_361","GPR6"
"41","P47870","GBRB2_427_439","GABRB2"
"42","P49450","CENPA_1_14","CENPA"
"43","P50552","VASP_271_283","VASP"
"44","P50552","VASP_150_162","VASP"
"45","P50552","pVASP_150_164","VASP"
"46","P50552","VASP_232_244","VASP"
"47","P51956","NEK3_158_170","NEK3"
"48","P61224","RAP1B_172_184","RAP1B"
"49","P62753","RS6_228_240","RPS6"
"50","P81274","GPSM2_394_406","GPSM2"
"51","Q01118","SCN7A_898_910","SCN7A"
"52","Q04864","REL_260_272","REL"
"53","Q05209","PTN12_32_44","PTPN12"
"54","Q05469","LIPS_944_956","LIPE"
"55","Q05586","NMDZ1_890_902","GRIN1"
"56","Q08999","RBL2_632_644","RBL2"
"57","Q08999","RBL2_655_667","RBL2"
"58","Q08999","RBL2_959_971","RBL2"
"59","Q13002","GRIK2_708_720","GRIK2"
"60","Q13882","PTK6_436_448","PTK6"
"61","Q13936","CAC1C_1974_1986","CACNA1C"
"62","Q14896","MYPC3_268_280","MYBPC3"
"63","Q16875","F263_454_466","PFKFB3"
"64","Q71DI3","H32_3_18","H3C13"
"65","Q71DI3","H32_3_18","H3C14"
"66","Q71DI3","H32_3_18","H3C15"
"67","Q99661","KIF2C_105_118_S106G","KIF2C"
