"","ID","Peptide","Gene"
"1","O14874","BCKD_45_57","BCKDK"
"2","O14965","STK6_283_295","AURKA"
"3","O96001","GSUB_61_73","PPP1R17"
"4","P04049","RAF1_253_265","RAF1"
"5","P04637","P53_12_24","TP53"
"6","P04637","P53_308_323","TP53"
"7","P05771","KPCB_19_31_A25S","PRKCB"
"8","P06400","RB_803_815","RB1"
"9","P06400","RB_242_254","RB1"
"10","P06400","RB_350_362","RB1"
"11","P06400","RB_774_786","RB1"
"12","P06730","IF4E_203_215","EIF4E"
"13","P07333","CSF1R_701_713","CSF1R"
"14","P07550","ADRB2_338_350","ADRB2"
"15","P08173","ACM4_456_468","CHRM4"
"16","P08912","ACM5_494_506","CHRM5"
"17","P08912","ACM5_498_510","CHRM5"
"18","P10275","ANDR_785_797","AR"
"19","P11229","ACM1_421_433","CHRM1"
"20","P11229","ACM1_444_456","CHRM1"
"21","P11388","TOP2A_1463_1475","TOP2A"
"22","P13569","CFTR_730_742","CFTR"
"23","P13569","CFTR_761_773","CFTR"
"24","P13861","KAP2_92_104","PRKAR2A"
"25","P14598","NCF1_296_308","NCF1"
"26","P15924","DESP_2842_2854","DSP"
"27","P16220","CREB1_126_138","CREB1"
"28","P16452","EPB42_241_253","EPB42"
"29","P17658","KCNA6_504_516","KCNA6"
"30","P21817","RYR1_4317_4329","RYR1"
"31","P22612","KAPCG_192_206","PRKACG"
"32","P26842","CD27_212_224","CD27"
"33","P29474","NOS3_1171_1183","NOS3"
"34","P29966","MARCS_160_172","MARCKS"
"35","P29966","MARCS_152_164","MARCKS"
"36","P35612","ADDB_706_718","ADD2"
"37","P35612","ADDB_696_708","ADD2"
"38","P38936","CDN1A_139_151","CDKN1A"
"39","P42345","FRAP_2475_2487","MTOR"
"40","P42345","FRAP_2443_2455","MTOR"
"41","P46095","GPR6_349_361","GPR6"
"42","P46937","YAP1_121_133","YAP1"
"43","P47870","GBRB2_427_439","GABRB2"
"44","P49450","CENPA_1_14","CENPA"
"45","P50552","VASP_271_283","VASP"
"46","P50552","VASP_150_162","VASP"
"47","P50552","VASP_232_244","VASP"
"48","P50552","pVASP_150_164","VASP"
"49","P51956","NEK3_158_170","NEK3"
"50","P61224","RAP1B_172_184","RAP1B"
"51","P62753","RS6_228_240","RPS6"
"52","P78527","PRKDC_2618_2630","PRKDC"
"53","P81274","GPSM2_394_406","GPSM2"
"54","Q05209","PTN12_32_44","PTPN12"
"55","Q05469","LIPS_944_956","LIPE"
"56","Q05586","NMDZ1_890_902","GRIN1"
"57","Q08999","RBL2_632_644","RBL2"
"58","Q08999","RBL2_655_667","RBL2"
"59","Q08999","RBL2_959_971","RBL2"
"60","Q13002","GRIK2_708_720","GRIK2"
"61","Q13882","PTK6_436_448","PTK6"
"62","Q13936","CAC1C_1974_1986","CACNA1C"
"63","Q14721","KCNB1_489_501","KCNB1"
"64","Q15418","KS6A1_374_386","RPS6KA1"
"65","Q16875","F263_454_466","PFKFB3"
"66","Q71DI3","H32_3_18","H3C13"
"67","Q71DI3","H32_3_18","H3C14"
"68","Q71DI3","H32_3_18","H3C15"
"69","Q92934","BAD_112_124","BAD"
"70","Q92934","BAD_93_105","BAD"
"71","Q92934","BAD_69_81","BAD"
