BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	Signal_Saturation	Protocol file name	Image Analysis_STKDate	Mon, 25 Oct 2021 13:30:39 GMT
	Barcode	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032203	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204	701032204
	Row	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4
	Exposure time	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	PMI Brain	Brain	Brain	Brain	Brain	Brain	Brain	Brain	Brain	Brain	Brain
	Comment 1	24h	24h	24h	24h	24h	48h	48h	48h	48h	48h	24h	24h	24h	24h	24h	48h	48h	48h	48h	48h	24h	24h	24h	24h	24h	48h	48h	48h	48h	48h	CT	CT	CT	CT	CT	haloperidol	haloperidol	haloperidol	haloperidol	haloperidol
	Comment 2	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	6	6	6	6	6	7	7	7	7	7	8	8	8	8	8
ID
#REF		0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.61156997084618e-002	1.0	0.0	0.0	0.0	0.0	0.961832046508789	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
