HGNC_Symbol,Log2FC,P_Value,DataSet
SNRK,-0.24,0.00705,hiPSC_Neuron
PRKD3,-0.33,0.00982,hiPSC_Neuron
PRKD1,1.43,0.03554,hiPSC_Neuron
TTN,-0.9,0.06061,hiPSC_Neuron
MAPKAPK5,0.1,0.10239,hiPSC_Neuron
DAPK1,0.2,0.1574,hiPSC_Neuron
DCLK1,-0.25,0.18435000000000001,hiPSC_Neuron
TSSK4,0.09,0.19038,hiPSC_Neuron
TSSK3,0.14,0.19838,hiPSC_Neuron
PHKG1,0.18,0.20121,hiPSC_Neuron
CAMK1D,-0.26,0.20369,hiPSC_Neuron
NUAK1,0.27,0.23039,hiPSC_Neuron
MKNK1,-0.12,0.24517,hiPSC_Neuron
STK40,-0.11,0.28811,hiPSC_Neuron
SIK1,-0.21,0.29218,hiPSC_Neuron
MARK3,0.05,0.30906,hiPSC_Neuron
MAPKAPK3,-0.16,0.35344,hiPSC_Neuron
SIK2,-0.09,0.37272,hiPSC_Neuron
PRKD2,0.1,0.39091,hiPSC_Neuron
PNCK,-0.16,0.39908,hiPSC_Neuron
DAPK3,-0.07,0.39948,hiPSC_Neuron
BRSK1,-0.1,0.40219,hiPSC_Neuron
CAMK2B,-0.22,0.4042,hiPSC_Neuron
CHEK1,0.14,0.42955,hiPSC_Neuron
PIM1,-0.18,0.43048,hiPSC_Neuron
TRIB2,-0.11,0.46399,hiPSC_Neuron
PASK,0.12,0.46523,hiPSC_Neuron
MAPKAPK2,-0.06,0.48706,hiPSC_Neuron
MKNK2,-0.13,0.48754,hiPSC_Neuron
CAMKV,0.19,0.48828,hiPSC_Neuron
MARK2,0.05,0.51407,hiPSC_Neuron
CAMK1,-0.07,0.52733,hiPSC_Neuron
KALRN,0.14,0.53023,hiPSC_Neuron
MYLK2,0.24,0.53277,hiPSC_Neuron
CAMK2D,-0.06,0.5435,hiPSC_Neuron
TRIB3,0.14,0.55489,hiPSC_Neuron
STK11,-0.05,0.57389,hiPSC_Neuron
DAPK2,-0.16,0.58322,hiPSC_Neuron
CASK,0.06,0.6051,hiPSC_Neuron
CAMK4,-0.1,0.6073,hiPSC_Neuron
MELK,0.12,0.62889,hiPSC_Neuron
BRSK2,0.05,0.6379,hiPSC_Neuron
STK33,-0.04,0.68472,hiPSC_Neuron
PSKH1,-0.04,0.71182,hiPSC_Neuron
PHKG2,-0.03,0.71216,hiPSC_Neuron
CAMK2A,0.14,0.71528,hiPSC_Neuron
PIM3,-0.08,0.72586,hiPSC_Neuron
PRKAA1,-0.02,0.75126,hiPSC_Neuron
PRKAA2,-0.05,0.75714,hiPSC_Neuron
CAMK2G,0.03,0.80762,hiPSC_Neuron
TSSK6,-0.02,0.82983,hiPSC_Neuron
NUAK2,0.04,0.84253,hiPSC_Neuron
DCLK2,-0.03,0.86377,hiPSC_Neuron
MYLK,-0.04,0.86645,hiPSC_Neuron
STK17A,-0.04,0.86901,hiPSC_Neuron
MARK4,-0.01,0.87275,hiPSC_Neuron
MYLK3,-0.02,0.89995,hiPSC_Neuron
STK17B,0.02,0.90491,hiPSC_Neuron
CHEK2,0.02,0.90743,hiPSC_Neuron
TRIB1,-0.03,0.90973,hiPSC_Neuron
SIK3,0.01,0.91711,hiPSC_Neuron
HUNK,0.02,0.92247,hiPSC_Neuron
OBSCN,0.02,0.93457,hiPSC_Neuron
PIM2,0.01,0.94438,hiPSC_Neuron
CAMK1G,0.04,0.94587,hiPSC_Neuron
TRIO,0,0.98121,hiPSC_Neuron
MARK1,0,0.99867,hiPSC_Neuron
PRKD2,0.28,0.163,BloodmRNA
MARK3,0.09,0.51,BloodmRNA
PHKG2,-0.14,0.48,BloodmRNA
CAMK2G,-0.48,0.103,BloodmRNA
MKNK2,-0.15,0.271,BloodmRNA
MAPKAPK2,-0.22,0.28,BloodmRNA
MYLK,0.04,0.854,BloodmRNA
CHEK2,-0.19,0.21,BloodmRNA
CAMK2B,0.23,0.166,BloodmRNA
CAMK2D,0.01,0.933,BloodmRNA
DAPK3,-0.64,0.0262,BloodmRNA
STK11,-0.11,0.204,BloodmRNA
PRKD3,0.05,0.809,BloodmRNA
TTN,-0.07,0.717,BloodmRNA
STK17B,-0.13,0.512,BloodmRNA
PASK,-0.2,0.513,BloodmRNA
TRIB2,-0.23,0.375,BloodmRNA
TRIB3,-0.15,0.425,BloodmRNA
SIK1,-0.82,0.0113,BloodmRNA
TSSK3,0.24,0.529,BloodmRNA
PIM3,0.06,0.756,BloodmRNA
CAMK1,0.19,0.556,BloodmRNA
MAPKAPK3,-0.6,0.0663,BloodmRNA
KALRN,0.56,0.0921,BloodmRNA
DCLK2,-0.05,0.738,BloodmRNA
PRKAA1,0.07,0.73,BloodmRNA
CAMK4,-0.04,0.74,BloodmRNA
PIM1,-1.5,0.0237,BloodmRNA
PHKG1,0.19,0.307,BloodmRNA
STK17A,0.14,0.3,BloodmRNA
MELK,-0.15,0.485,BloodmRNA
DAPK1,-0.62,0.0147,BloodmRNA
CASK,0.09,0.731,BloodmRNA
PIM2,0.01,0.954,BloodmRNA
