Kinase,Score,Rank,Method,Perc,Qrt,hgnc_symbol,group,KinaseFamily,subfamily
AAK1,302,260,KEA3,0.08571428571428572,1,AAK1,OTHER,"NAK",BIKE
ABL1,84.66666666666667,66,KEA3,0.7828571428571428,4,ABL1,TK,ABL,NA
ABL2,145.66666666666666,137,KEA3,0.5028571428571429,3,ABL2,TK,ABL,NA
ACVR1,106.5,92,KEA3,0.6742857142857143,3,ACVR1,TKL,STKR,TYPE1
ACVR1B,188.5,184,KEA3,0.34,2,ACVR1B,TKL,STKR,TYPE1
ACVR2B,212,199,KEA3,0.2885714285714286,2,ACVR2B,TKL,STKR,TYPE2
AKT1,75.66666666666667,53,KEA3,0.82,4,AKT1,AGC,AKT,NA
AKT2,105.66666666666667,91,KEA3,0.6771428571428572,3,AKT2,AGC,AKT,NA
AKT3,129,125,KEA3,0.5542857142857143,3,AKT3,AGC,AKT,NA
ALK,85,67,KEA3,0.7742857142857142,4,ALK,TK,ALK,NA
ARAF,129.5,126,KEA3,0.5485714285714286,3,ARAF,TKL,RAF,RAF
ATM,78.66666666666667,59,KEA3,0.8028571428571428,4,ATM,ATYPICAL,PIKK,ATM
ATR,31.666666666666668,13,KEA3,0.9542857142857143,4,ATR,ATYPICAL,PIKK,ATR
AURKA,47.666666666666664,29,KEA3,0.9057142857142857,4,AURKA,OTHER,AUR,NA
AURKB,59,43,KEA3,0.8542857142857143,4,AURKB,OTHER,AUR,NA
AURKC,185,182,KEA3,0.3457142857142857,2,AURKC,OTHER,AUR,NA
AXL,203,193,KEA3,0.3142857142857143,2,AXL,TK,AXL,NA
BLK,258.5,235,KEA3,0.16,1,BLK,TK,SRC,SRCB
BMP2K,326,279,KEA3,0.03142857142857143,1,BMP2K,OTHER,"NAK",BIKE
BMPR1A,98,83,KEA3,0.7085714285714285,3,BMPR1A,TKL,STKR,TYPE1
BMPR1B,107,93,KEA3,0.6685714285714286,3,BMPR1B,TKL,STKR,TYPE1
BMPR2,194.5,189,KEA3,0.32571428571428573,2,BMPR2,TKL,STKR,TYPE2
BMX,124.66666666666667,121,KEA3,0.5685714285714286,3,BMX,TK,TEC,NA
BRAF,150.5,146,KEA3,0.4685714285714286,2,BRAF,TKL,RAF,RAF
BRSK1,224,207,KEA3,0.2542857142857143,2,BRSK1,CAMK,CAMKL,BRSK
BRSK2,307,265,KEA3,0.07142857142857142,1,BRSK2,CAMK,CAMKL,BRSK
BTK,75.33333333333333,52,KEA3,0.8285714285714286,4,BTK,TK,TEC,NA
BUB1,155,150,KEA3,0.4514285714285714,2,BUB1,OTHER,BUB,NA
CAMK1,92,76,KEA3,0.7371428571428571,3,CAMK1,CAMK,CAMK1,NA
CAMK1D,248,226,KEA3,0.18571428571428572,1,CAMK1D,CAMK,CAMK1,NA
CAMK2A,50,33,KEA3,0.8914285714285715,4,CAMK2A,CAMK,CAMK2,NA
CAMK2B,132,129,KEA3,0.5371428571428571,3,CAMK2B,CAMK,CAMK2,NA
CAMK2D,97.66666666666667,82,KEA3,0.7142857142857143,3,CAMK2D,CAMK,CAMK2,NA
CAMK2G,7,1,KEA3,0.9971428571428571,4,CAMK2G,CAMK,CAMK2,NA
CAMK4,83,65,KEA3,0.7857142857142857,4,CAMK4,CAMK,CAMK1,NA
CAMKK1,150.33333333333334,145,KEA3,0.4714285714285714,2,CAMKK1,OTHER,CAMKK,META
CAMKK2,92,76,KEA3,0.7371428571428571,3,CAMKK2,OTHER,CAMKK,META
CDC42BPA,290,251,KEA3,0.11142857142857143,1,CDC42BPA,AGC,DMPK,GEK
CDC7,169.5,168,KEA3,0.39714285714285713,2,CDC7,OTHER,CDC7,NA
CDK1,28,11,KEA3,0.9657142857142857,4,CDK1,CMGC,CDK,CDC2
CDK11A,332,283,KEA3,0.02,1,CDK11A,NA,NA,NA
CDK12,317,273,KEA3,0.04857142857142857,1,CDK12,CMGC,CDK,CRK7
CDK15,274,240,KEA3,0.14285714285714285,1,CDK15,CMGC,CDK,PFTAIRE
CDK16,262,236,KEA3,0.15714285714285714,1,CDK16,CMGC,CDK,PCTAIRE
CDK18,258,234,KEA3,0.16285714285714287,1,CDK18,CMGC,CDK,PCTAIRE
CDK19,71,48,KEA3,0.84,4,CDK19,CMGC,CDK,CDK8
CDK2,26,9,KEA3,0.9714285714285714,4,CDK2,CMGC,CDK,CDC2
CDK20,154,149,KEA3,0.4542857142857143,2,CDK20,CMGC,CDK,CCRK
CDK3,88,70,KEA3,0.7628571428571429,4,CDK3,CMGC,CDK,CDC2
CDK4,48.666666666666664,32,KEA3,0.8942857142857142,4,CDK4,CMGC,CDK,CDK4
CDK5,59,43,KEA3,0.8542857142857143,4,CDK5,CMGC,CDK,CDK5
CDK6,60.666666666666664,45,KEA3,0.8485714285714285,4,CDK6,CMGC,CDK,CDK4
CDK7,101,88,KEA3,0.6885714285714286,3,CDK7,CMGC,CDK,CDK7
CDK8,178.5,178,KEA3,0.3628571428571429,2,CDK8,CMGC,CDK,CDK8
CDK9,55,39,KEA3,0.8742857142857143,4,CDK9,CMGC,CDK,CDK9
CDKL3,305,263,KEA3,0.07714285714285714,1,CDKL3,CMGC,CDKL,NA
CDKL5,107.5,94,KEA3,0.6657142857142857,3,CDKL5,CMGC,CDKL,NA
CHEK1,10.666666666666666,3,KEA3,0.9914285714285714,4,CHEK1,CAMK,CAMKL,CHK1
CHEK2,45.333333333333336,25,KEA3,0.9171428571428571,4,CHEK2,CAMK,RAD53,NA
