HGNC_Symbol,Log2FC,P_Value,DataSet
MAPK1,-0.13,0.12186,hiPSC_Neuron
MAPK4,0.56,0.1538,hiPSC_Neuron
MAPK9,-0.08,0.25787,hiPSC_Neuron
MAPK10,-0.11,0.35991,hiPSC_Neuron
MAPK14,0.05,0.40306,hiPSC_Neuron
MAPK7,0.06,0.41985,hiPSC_Neuron
MAPK13,0.22,0.46708,hiPSC_Neuron
MAPK6,-0.07,0.48273,hiPSC_Neuron
MAPK11,0.06,0.67846,hiPSC_Neuron
MAPK15,-0.1,0.69651,hiPSC_Neuron
MAPK12,0.03,0.78011,hiPSC_Neuron
MAPK3,0.02,0.84295,hiPSC_Neuron
MAPK8,0,0.99655,hiPSC_Neuron
MAPK3,-0.32,0.0253,BloodmRNA
MAPK14,-0.28,0.322,BloodmRNA
MAPK4,-0.07,0.754,BloodmRNA
MAPK1,0.02,0.895,BloodmRNA
MAPK12,-0.09,0.748,BloodmRNA
MAPK9,0.22,0.297,BloodmRNA
MAPK13,-0.22,0.0753,BloodmRNA
MAPK8,-1.02,0.00377,BloodmRNA
MAPK6,0.15,0.429,BloodmRNA
MAPK3,-0.08,0.66796,DISC1_RNA
MAPK9,0.46,0.07654,DISC1_RNA
MAPK14,-0.12,0.6091,DISC1_RNA
MAPK1,-0.24,0.21942,DISC1_RNA
MAPK4,1.55,1e-5,DISC1_RNA
MAPK6,-0.3,0.13066,DISC1_RNA
MAPK7,0.06,0.76847,DISC1_RNA
MAPK11,-0.11,0.61236,DISC1_RNA
MAPK10,-0.12,0.58335,DISC1_RNA
MAPK13,0.52,0.36744,DISC1_RNA
MAPK12,0.73,0.06433,DISC1_RNA
MAPK15,-1.93,7.5e-4,DISC1_RNA
MAPK8,0.31,0.16755,DISC1_RNA
MAPK9,-0.09,4.9e-4,gandalMicro
MAPK6,-0.07,9e-5,gandalMicro
MAPK1,0,0.96157,gandalMicro
MAPK3,0.04,0.01801,gandalMicro
MAPK8,-0.03,0.11978,gandalMicro
MAPK10,-0.02,0.33573,gandalMicro
MAPK14,0.02,0.22208,gandalMicro
MAPK4,0.02,0.44832,gandalMicro
MAPK13,-0.03,0.17039,gandalMicro
MAPK7,0.03,0.13482,gandalMicro
MAPK11,-0.02,0.17808,gandalMicro
MAPK12,-0.02,0.35467,gandalMicro
MAPK9,-0.09,5e-5,gandalRNAseq
MAPK6,-0.05,0.03442,gandalRNAseq
MAPK1,-0.04,0.04319,gandalRNAseq
MAPK3,0.06,0.12322,gandalRNAseq
MAPK8,-0.06,0.00109,gandalRNAseq
MAPK10,-0.01,0.83528,gandalRNAseq
MAPK14,0.05,0.0018600000000000001,gandalRNAseq
MAPK4,-0.07,0.08978,gandalRNAseq
MAPK13,-0.05,0.12686,gandalRNAseq
MAPK7,0.06,0.13047,gandalRNAseq
MAPK11,-0.03,0.33931,gandalRNAseq
MAPK12,-0.04,0.09892,gandalRNAseq
MAPK9,-0.09,0.19588,hiPSC_NPC1
MAPK14,-0.06,0.31299,hiPSC_NPC1
MAPK15,0.2,0.47266,hiPSC_NPC1
MAPK4,0.24,0.54981,hiPSC_NPC1
MAPK11,0.06,0.64595,hiPSC_NPC1
MAPK1,-0.03,0.74509,hiPSC_NPC1
MAPK6,-0.02,0.83809,hiPSC_NPC1
MAPK13,0.06,0.84487,hiPSC_NPC1
MAPK7,0.01,0.85927,hiPSC_NPC1
MAPK10,-0.02,0.8891,hiPSC_NPC1
MAPK12,0.01,0.93894,hiPSC_NPC1
MAPK8,-0.01,0.94929,hiPSC_NPC1
MAPK3,0,0.96118,hiPSC_NPC1
MAPK12,-0.1,0.49122,MtSinaiACC
MAPK13,0.29,0.07345,MtSinaiACC
MAPK10,0.34,0.04756,MtSinaiACC
MAPK9,0.37,0.14551,MtSinaiACC
MAPK11,-0.29,0.314,MtSinaiACC
MAPK8,0.02,0.93892,MtSinaiACC
MAPK6,0.18,0.07734,MtSinaiACC
MAPK3,0.3,0.13009,MtSinaiACC
MAPK1,0.29,0.22807,MtSinaiACC
MAPK14,0.24,0.02925,MtSinaiACC
MAPK12,0.21,0.40277,MtSinaiDLPFC
MAPK13,-0.03,0.85717,MtSinaiDLPFC
MAPK10,-0.17,0.24226,MtSinaiDLPFC
MAPK9,-0.14,0.44505,MtSinaiDLPFC
MAPK11,0.03,0.88734,MtSinaiDLPFC
MAPK8,0.12,0.5095,MtSinaiDLPFC
MAPK6,0.02,0.80682,MtSinaiDLPFC
MAPK3,0,0.98921,MtSinaiDLPFC
MAPK1,0.04,0.88371,MtSinaiDLPFC
MAPK14,0,0.95176,MtSinaiDLPFC
MAPK12,0.12,0.32331,MtSinaiMTA
MAPK13,-0.04,0.83374,MtSinaiMTA
MAPK10,0.14,0.3918,MtSinaiMTA
MAPK9,0.1,0.61263,MtSinaiMTA
MAPK11,0.46,0.16012,MtSinaiMTA
MAPK8,0.37,0.01182,MtSinaiMTA
MAPK6,-0.16,0.07225,MtSinaiMTA
MAPK3,0.16,0.23197,MtSinaiMTA
MAPK1,-0.14,0.67898,MtSinaiMTA
MAPK14,-0.19,0.04275,MtSinaiMTA
MAPK12,0,0.996,MtSinaiTPA
MAPK13,0.05,0.73049,MtSinaiTPA
MAPK10,0.13,0.30726,MtSinaiTPA
MAPK9,0.12,0.51305,MtSinaiTPA
MAPK11,0.17,0.43524,MtSinaiTPA
MAPK8,-0.03,0.83297,MtSinaiTPA
MAPK6,-0.08,0.56575,MtSinaiTPA
MAPK3,0.13,0.54354,MtSinaiTPA
MAPK1,0.06,0.78766,MtSinaiTPA
MAPK14,-0.14,0.02405,MtSinaiTPA
MAPK15,-0.1,0.53561,Stanley
MAPK1,-0.06,0.07619,Stanley
MAPK10,-0.01,0.83534,Stanley
MAPK11,-0.01,0.63575,Stanley
MAPK12,-0.01,0.3731,Stanley
MAPK13,-0.01,0.68684,Stanley
MAPK14,0.01,0.78873,Stanley
MAPK3,-0.01,0.87229,Stanley
MAPK4,0.02,0.51335,Stanley
MAPK6,-0.06,0.27877999999999997,Stanley
MAPK7,0.01,0.78817,Stanley
MAPK8,-0.03,0.25079,Stanley
MAPK9,-0.08,0.05883,Stanley
MAPK7,0.04,0.09215,CommonMind_DLPFC
