Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Muscarinic Acetylcholine Receptors R-HSA-390648,1/5,0.0014992198216206949,0.04010659533572591,0,0,999.5,6499.5590198897235,CHRM1
ROBO Receptors Bind AKAP5 R-HSA-9010642,1/8,0.002397858969227747,0.04010659533572591,0,0,571.0571428571428,3445.2899826083253,PRKAR2A
CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720,1/12,0.0035949984464796287,0.04010659533572591,0,0,363.3272727272727,2044.8828145385057,PRKAR2A
Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,1/13,0.0038940964853966904,0.04010659533572591,0,0,333.03333333333336,1847.7667100463034,CDC25C
PKA Activation In Glucagon Signaling R-HSA-164378,1/16,0.004790942275014269,0.04010659533572591,0,0,266.38666666666666,1422.7786907214238,PRKAR2A
Polo-like Kinase Mediated Events R-HSA-156711,1/16,0.004790942275014269,0.04010659533572591,0,0,266.38666666666666,1422.7786907214238,CDC25C
PKA Activation R-HSA-163615,1/17,0.005089741453570572,0.04010659533572591,0,0,249.725,1318.6799159042428,PRKAR2A
TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,1/18,0.0053884659389882355,0.04010659533572591,0,0,235.0235294117647,1227.644124299904,CDC25C
PKA-mediated Phosphorylation Of CREB R-HSA-111931,1/19,0.005687115738983334,0.04010659533572591,0,0,221.95555555555555,1147.4107993095174,PRKAR2A
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,1/21,0.006284191332539439,0.04010659533572591,0,0,199.74,1012.6254955871668,CDC25C
Branched-chain Amino Acid Catabolism R-HSA-70895,1/21,0.006284191332539439,0.04010659533572591,0,0,199.74,1012.6254955871668,BCKDK
TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115,1/21,0.006284191332539439,0.04010659533572591,0,0,199.74,1012.6254955871668,CDC25C
DARPP-32 Events R-HSA-180024,1/24,0.007179244874171303,0.04010659533572591,0,0,173.66086956521738,857.2874884567655,PRKAR2A
Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,1/24,0.007179244874171303,0.04010659533572591,0,0,173.66086956521738,857.2874884567655,CDC25C
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,1/25,0.007477446810139074,0.04010659533572591,0,0,166.41666666666666,814.7533474976135,CDC25C
