HGNC_Symbol,Log2FC,P_Value,DataSet,drug
MAPK9,-0.3,0.01404,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK12,-0.26,0.04924,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK4,-0.17,0.04976,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK11,-0.2,0.0658,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK3,-0.15,0.06831,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK8,-0.17,0.06956,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK13,0.22,0.07813,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK14,-0.18,0.11816,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK7,-0.07,0.38205,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK1,-0.08,0.43927,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK6,-0.05,0.66053,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK10,0.04,0.76373,CLO_0.1uM_6hr (Readhead 2018),Clozapine
MAPK9,0.36,0.00475,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK3,0.21,0.01318,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK14,0.26,0.02682,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK8,0.22,0.02762,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK4,0.18,0.03906,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK11,0.22,0.05416,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK12,0.24,0.09134,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK1,0.16,0.13468,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK7,0.1,0.2769,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK13,-0.14,0.30413,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK10,-0.04,0.5978,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK6,0.05,0.6896,CLO_0.03uM_6hr (Readhead 2018),Clozapine
MAPK8,-0.36,2.5e-4,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK9,-0.41,8.6e-4,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK14,-0.38,0.0011,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK1,-0.28,0.00606,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK4,-0.18,0.0346,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK11,-0.21,0.0506,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK13,0.23,0.066,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK3,-0.15,0.0669,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK6,-0.16,0.132,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK7,0.12,0.297,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK12,-0.1,0.464,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK10,0.05,0.475,HAL_0.1uM_6hr (Readhead 2018),Haloperidol
MAPK9,-0.36,0.00329,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK14,-0.32,0.00531,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK1,-0.27,0.00728,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK8,-0.26,0.00837,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK11,-0.27,0.01168,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK12,-0.29,0.03212,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK4,-0.18,0.03275,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK3,-0.17,0.03467,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK6,-0.13,0.25141,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK13,0.08,0.49952,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK7,0.04,0.73114,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK10,0.04,0.77757,Lox_1uM_6hr (Readhead 2018),Loxapine
MAPK9,0.32,0.00838,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK3,0.17,0.03273,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK14,0.24,0.03458,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK12,0.27,0.0412,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK8,0.18,0.05482,ARI-1uM-6h (Readhead 2018),Aripiprazole
MAPK4,0.11,0.06263,ARI-1uM-6h (Readhead 2018),Aripiprazole
