Kinase,R1C1P1,R1C1P2,R1C2P3,R1C2P4,R1C3P5,R2C1P1,R2C1P2,R2C2P3,R2C2P4,R2C3P5,R2C3P6,R3C1P1,R3C1P2,R3C2P3,R3C2P4,R3C3P5,R3C3P6,R4C1P1,R4C1P2
IKK[beta],1,2,1,4,3,4,3,1,2,4,2,1,1,2,4,2,2,3,2
ERK1,1,3,4,1,4,1,2,3,4,1,1,4,4,3,4,2,4,2,4
ARAF,1,2,2,3,4,4,2,1,3,2,1,2,4,3,1,4,4,4,3
BRAF,1,2,2,3,4,4,2,1,3,2,1,2,4,3,1,4,4,4,3
RSK1/p90RSK,1,2,1,4,3,3,3,1,2,4,2,1,2,2,2,3,2,3,1
PKD1,1,3,2,4,4,3,3,1,3,1,2,2,3,3,1,4,3,4,2
PAK1,1,1,2,1,4,3,3,1,2,4,1,1,3,4,1,4,3,1,2
RSK3,1,2,1,2,2,2,3,1,2,3,2,1,2,2,1,3,2,3,1
AlphaK1,1,1,3,4,100,2,4,1,4,100,100,4,2,3,3,4,2,100,100
p38[beta],1,3,4,3,2,3,3,3,2,2,3,3,4,4,4,4,2,4,4
CDKL2,1,3,4,4,4,4,4,4,4,1,3,4,3,2,1,1,2,4,4
p38[delta],1,3,3,4,3,1,2,3,3,1,1,4,3,4,1,2,4,1,4
RAF1,1,1,2,4,2,4,1,1,3,4,3,2,3,3,1,2,4,3,2
p38[gamma],1,3,4,3,4,4,3,3,3,1,1,4,2,3,3,2,4,3,4
ERK2,1,4,3,2,4,1,3,2,4,1,1,4,4,4,4,2,4,2,4
CK2[alpha]1,1,1,1,1,2,2,2,100,100,100,100,2,2,2,4,1,2,1,1
ERK5,1,2,4,2,4,3,3,2,4,1,2,4,3,4,3,2,4,3,4
PKG1,1,1,1,1,1,1,3,1,1,4,1,1,1,3,4,1,1,1,1
ANP[alpha],1,4,4,2,3,3,1,2,3,4,4,3,4,1,1,3,3,2,3
PFTAIRE1,1,3,1,4,2,100,100,100,100,100,100,2,1,100,100,100,100,100,100
PFTAIRE2,1,1,2,4,4,4,2,2,2,4,3,3,4,4,1,3,3,4,2
