"","ID","Peptide","Gene"
"1","O14965","STK6_283_295","AURKA"
"2","P01106","MYC_51_63","MYC"
"3","P03372","ESR1_160_172","ESR1"
"4","P04049","RAF1_253_265","RAF1"
"5","P04637","P53_12_24","TP53"
"6","P04637","P53_308_323","TP53"
"7","P06400","RB_774_786","RB1"
"8","P06400","RB_242_254","RB1"
"9","P06400","RB_350_362","RB1"
"10","P06400","RB_803_815","RB1"
"11","P07333","CSF1R_701_713","CSF1R"
"12","P07550","ADRB2_338_350","ADRB2"
"13","P11388","TOP2A_1463_1475","TOP2A"
"14","P13569","CFTR_730_742","CFTR"
"15","P13569","CFTR_761_773","CFTR"
"16","P16220","CREB1_126_138","CREB1"
"17","P16389","KCNA2_442_454","KCNA2"
"18","P19838","NFKB1_330_342","NFKB1"
"19","P20700","LMNB1_16_28","LMNB1"
"20","P22612","KAPCG_192_206","PRKACG"
"21","P38936","CDN1A_139_151","CDKN1A"
"22","P42345","FRAP_2443_2455","MTOR"
"23","P42345","FRAP_2475_2487","MTOR"
"24","P46937","YAP1_121_133","YAP1"
"25","P50552","VASP_150_162","VASP"
"26","P50552","VASP_232_244","VASP"
"27","P50552","pVASP_150_164","VASP"
"28","P50552","VASP_271_283","VASP"
"29","P51955","NEK2_172_184","NEK2"
"30","P61224","RAP1B_172_184","RAP1B"
"31","P62714","PP2AB_297_309","PPP2CB"
"32","P62753","RS6_228_240","RPS6"
"33","P78527","PRKDC_2618_2630","PRKDC"
"34","Q01118","SCN7A_898_910","SCN7A"
"35","Q05209","PTN12_32_44","PTPN12"
"36","Q08999","RBL2_632_644","RBL2"
"37","Q08999","RBL2_959_971","RBL2"
"38","Q08999","RBL2_655_667","RBL2"
"39","Q13555","KCC2G_278_289","CAMK2G"
"40","Q13882","PTK6_436_448","PTK6"
"41","Q13936","CAC1C_1974_1986","CACNA1C"
"42","Q14896","MYPC3_268_280","MYBPC3"
"43","Q71DI3","H32_3_18","H3C13"
"44","Q71DI3","H32_3_18","H3C14"
"45","Q71DI3","H32_3_18","H3C15"
"46","Q92934","BAD_69_81","BAD"
"47","Q92934","BAD_112_124","BAD"
"48","Q92934","BAD_93_105","BAD"
"49","Q99661","KIF2C_105_118_S106G","KIF2C"
