"","ID","Peptide","Gene"
"1","O00168","PLM_76_88","FXYD1"
"2","O14874","BCKD_45_57","BCKDK"
"3","O43602","DCX_49_61","DCX"
"4","O96001","GSUB_61_73","PPP1R17"
"5","P01233","CGHB_109_121","CGB3"
"6","P01233","CGHB_109_121","CGB5"
"7","P01233","CGHB_109_121","CGB7"
"8","P01233","CGHB_109_121","CGB8"
"9","P03372","ESR1_160_172","ESR1"
"10","P04004","VTNC_390_402","VTN"
"11","P04626","ERBB2_679_691","ERBB2"
"12","P06493","CDC2_154_169","CDK1"
"13","P06737","PYGL_8_20","PYGL"
"14","P07101","pTY3H_64_78","TH"
"15","P07101","TY3H_65_77","TH"
"16","P07333","CSF1R_701_713","CSF1R"
"17","P08567","PLEK_106_118","PLEK"
"18","P11388","TOP2A_1463_1475","TOP2A"
"19","P13569","CFTR_730_742","CFTR"
"20","P13569","CFTR_761_773","CFTR"
"21","P13861","KAP2_92_104","PRKAR2A"
"22","P14598","NCF1_296_308","NCF1"
"23","P15924","DESP_2842_2854","DSP"
"24","P16220","CREB1_126_138","CREB1"
"25","P17658","KCNA6_504_516","KCNA6"
"26","P19838","NFKB1_330_342","NFKB1"
"27","P21817","RYR1_4317_4329","RYR1"
"28","P22001","KCNA3_461_473","KCNA3"
"29","P22612","KAPCG_192_206","PRKACG"
"30","P35612","ADDB_706_718","ADD2"
"31","P35612","ADDB_696_708","ADD2"
"32","P38936","CDN1A_139_151","CDKN1A"
"33","P46020","KPB1_1011_1023","PHKA1"
"34","P50552","VASP_232_244","VASP"
"35","P50552","VASP_271_283","VASP"
"36","P50552","VASP_150_162","VASP"
"37","P50552","pVASP_150_164","VASP"
"38","Q05209","PTN12_32_44","PTPN12"
"39","Q05586","NMDZ1_890_902","GRIN1"
"40","Q08999","RBL2_632_644","RBL2"
"41","Q08999","RBL2_959_971","RBL2"
"42","Q08999","RBL2_655_667","RBL2"
"43","Q13002","GRIK2_708_720","GRIK2"
"44","Q13555","KCC2G_278_289","CAMK2G"
"45","Q13882","PTK6_436_448","PTK6"
"46","Q13936","CAC1C_1974_1986","CACNA1C"
"47","Q14896","MYPC3_268_280","MYBPC3"
"48","Q16875","F263_454_466","PFKFB3"
"49","Q71DI3","H32_3_18","H3C13"
"50","Q71DI3","H32_3_18","H3C14"
"51","Q71DI3","H32_3_18","H3C15"
"52","Q92934","BAD_112_124","BAD"
"53","Q92934","BAD_69_81","BAD"
"54","Q92934","BAD_93_105","BAD"
