Peptide,Source
RS6_228_240,AKT1
CENPA_1_14,AKT1
PPR1A_28_40,AKT1
RYR1_4317_4329,AKT1
CSF1R_701_713,AKT1
STK6_283_295,AKT1
ADDB_706_718,AKT1
KIF2C_105_118_S106G,AKT1
ERBB2_679_691,AKT1
H32_3_18,AKT1
TOP2A_1463_1475,AKT1
GBRB2_427_439,AKT1
BCKD_45_57,ERK1
DCX_49_61,ERK1
MYC_51_63,ERK1
ESR1_160_172,ERK1
P53_308_323,ERK1
RB_803_815,ERK1
RB_774_786,ERK1
CDC2_154_169,ERK1
CSF1R_701_713,ERK1
CFTR_761_773,ERK1
RYR1_4317_4329,ERK1
KAPCG_192_206,ERK1
NOS3_1171_1183,ERK1
MARCS_152_164,ERK1
MPIP1_172_184,ERK1
ADDB_696_708,ERK1
CDN1A_139_151,ERK1
FRAP_2443_2455,ERK1
YAP1_121_133,ERK1
VASP_271_283,ERK1
CDK7_163_175,ERK1
NEK2_172_184,ERK1
NEK3_158_170,ERK1
RS6_228_240,ERK1
PTN12_32_44,ERK1
NMDZ1_890_902,ERK1
RBL2_655_667,ERK1
PTK6_436_448,ERK1
H32_3_18,ERK1
KIF2C_105_118_S106G,ERK1
BCKD_45_57,ERK5
STK6_283_295,ERK5
RAF1_253_265,ERK5
CSF1R_701_713,ERK5
ADRB2_338_350,ERK5
ANDR_785_797,ERK5
TOP2A_1463_1475,ERK5
CFTR_761_773,ERK5
KAP2_92_104,ERK5
NCF1_296_308,ERK5
DESP_2842_2854,ERK5
CREB1_126_138,ERK5
KCNA6_504_516,ERK5
RYR1_4317_4329,ERK5
NOS3_1171_1183,ERK5
ADDB_706_718,ERK5
ADDB_696_708,ERK5
CDN1A_139_151,ERK5
FRAP_2443_2455,ERK5
GPR6_349_361,ERK5
GBRB2_427_439,ERK5
CENPA_1_14,ERK5
VASP_271_283,ERK5
VASP_150_162,ERK5
RS6_228_240,ERK5
GPSM2_394_406,ERK5
PTN12_32_44,ERK5
LIPS_944_956,ERK5
NMDZ1_890_902,ERK5
RBL2_655_667,ERK5
GRIK2_708_720,ERK5
PTK6_436_448,ERK5
CAC1C_1974_1986,ERK5
F263_454_466,ERK5
H32_3_18,ERK5
CGHB_109_121,ERK5
ESR1_160_172,ERK5
VTNC_390_402,ERK5
KCNA3_461_473,ERK5
KAP3_107_119,ERK5
REL_260_272,ERK5
MYPC3_268_280,ERK5
KIF2C_105_118_S106G,ERK5
PLM_76_88,ERK7
BCKD_45_57,ERK7
DCX_49_61,ERK7
CGHB_109_121,ERK7
ERBB2_679_691,ERK7
CDC2_154_169,ERK7
TY3H_65_77,ERK7
CSF1R_701_713,ERK7
PLEK_106_118,ERK7
NCF1_296_308,ERK7
CREB1_126_138,ERK7
KCNA6_504_516,ERK7
NFKB1_330_342,ERK7
RYR1_4317_4329,ERK7
KCNA3_461_473,ERK7
KAPCG_192_206,ERK7
ADDB_696_708,ERK7
KPB1_1011_1023,ERK7
VASP_271_283,ERK7
PTN12_32_44,ERK7
NMDZ1_890_902,ERK7
RBL2_655_667,ERK7
GRIK2_708_720,ERK7
PTK6_436_448,ERK7
CAC1C_1974_1986,ERK7
MYPC3_268_280,ERK7
F263_454_466,ERK7
H32_3_18,ERK7
BCKD_45_57,JNK1
STK6_283_295,JNK1
C1R_201_213,JNK1
MYC_51_63,JNK1
CGHB_109_121,JNK1
P53_12_24,JNK1
P53_308_323,JNK1
CSF1R_701_713,JNK1
ADRB2_338_350,JNK1
