"","ID","Peptide","Gene"
"1","O14874","BCKD_45_57","BCKDK"
"2","O14965","STK6_283_295","AURKA"
"3","O96001","GSUB_61_73","PPP1R17"
"4","P00736","C1R_201_213","C1R"
"5","P01106","MYC_51_63","MYC"
"6","P01233","CGHB_109_121","CGB3"
"7","P01233","CGHB_109_121","CGB5"
"8","P01233","CGHB_109_121","CGB7"
"9","P01233","CGHB_109_121","CGB8"
"10","P04637","P53_12_24","TP53"
"11","P04637","P53_308_323","TP53"
"12","P06493","CDC2_154_169","CDK1"
"13","P07333","CSF1R_701_713","CSF1R"
"14","P07550","ADRB2_338_350","ADRB2"
"15","P08173","ACM4_456_468","CHRM4"
"16","P10275","ANDR_785_797","AR"
"17","P11388","TOP2A_1463_1475","TOP2A"
"18","P17658","KCNA6_504_516","KCNA6"
"19","P19419","ELK1_356_368","ELK1"
"20","P19419","ELK1_410_422","ELK1"
"21","P22612","KAPCG_192_206","PRKACG"
"22","P26842","CD27_212_224","CD27"
"23","P29966","MARCS_152_164","MARCKS"
"24","P29966","MARCS_160_172","MARCKS"
"25","P31323","KAP3_107_119","PRKAR2B"
"26","P31749","AKT1_301_313","AKT1"
"27","P35612","ADDB_696_708","ADD2"
"28","P35612","ADDB_706_718","ADD2"
"29","P38936","CDN1A_139_151","CDKN1A"
"30","P50552","VASP_271_283","VASP"
"31","P50552","VASP_232_244","VASP"
"32","P50552","VASP_150_162","VASP"
"33","P50552","pVASP_150_164","VASP"
"34","P51956","NEK3_158_170","NEK3"
"35","P61224","RAP1B_172_184","RAP1B"
"36","P81274","GPSM2_394_406","GPSM2"
"37","Q08999","RBL2_632_644","RBL2"
"38","Q08999","RBL2_655_667","RBL2"
"39","Q08999","RBL2_959_971","RBL2"
"40","Q13555","KCC2G_278_289","CAMK2G"
"41","Q13882","PTK6_436_448","PTK6"
"42","Q13936","CAC1C_1974_1986","CACNA1C"
"43","Q14896","MYPC3_268_280","MYBPC3"
"44","Q16288","NTRK3_824_836","NTRK3"
"45","Q92934","BAD_112_124","BAD"
"46","Q92934","BAD_69_81","BAD"
"47","Q92934","BAD_93_105","BAD"
"48","Q99661","KIF2C_105_118_S106G","KIF2C"
