Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,-14.790614432711877,49,PTM-SEA,0.2987012987012987,2,AGC,SGK,NA,SGK1
CHEK1,102.55076639326123,4,PTM-SEA,0.961038961038961,4,CAMK,CAMKL,CHK1,CHEK1
AURKA,-89.74687102060683,10,PTM-SEA,0.8831168831168831,4,OTHER,AUR,NA,AURKA
RPS6KA5,-25.669865092988957,42,PTM-SEA,0.38961038961038963,2,AGC,RSK,MSK,RPS6KA5
LATS1,0,56,PTM-SEA,0,1,AGC,NDR,NA,LATS1
CHEK2,109.54385931563482,2,PTM-SEA,0.987012987012987,4,CAMK,RAD53,NA,CHEK2
RAF1,-33.30211899331275,35,PTM-SEA,0.4805194805194805,2,TKL,RAF,RAF,RAF1
PRKCG,0,56,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,-21.975531190640893,44,PTM-SEA,0.36363636363636365,2,AGC,PKC,ALPHA,PRKCB
CDK1,39.58860983968583,32,PTM-SEA,0.5194805194805194,3,CMGC,CDK,CDC2,CDK1
ARAF,-50.93173561157213,26,PTM-SEA,0.6623376623376623,3,TKL,RAF,RAF,ARAF
PIM1,-44.00062669506447,30,PTM-SEA,0.5454545454545454,3,CAMK,PIM,NA,PIM1
CDK4,18.909113366998866,48,PTM-SEA,0.3116883116883117,2,CMGC,CDK,CDK4,CDK4
BRAF,-50.93173561157213,26,PTM-SEA,0.6623376623376623,3,TKL,RAF,RAF,BRAF
PRKCA,-53.906028794959695,24,PTM-SEA,0.7012987012987013,3,AGC,PKC,ALPHA,PRKCA
PRKACA,19.05225779190238,47,PTM-SEA,0.3246753246753247,2,AGC,PKA,NA,PRKACA
PRKACG,-59.102135818145896,22,PTM-SEA,0.7272727272727273,3,AGC,PKA,NA,PRKACG
PRKACB,-44.00062669506447,30,PTM-SEA,0.5454545454545454,3,AGC,PKA,NA,PRKACB
