Group,PeptideID
P38,ATF2_47_59
JNK,ATF2_47_59
ERK,ATF2_47_59
JNK,MYBB_513_525
ERK,MYBB_513_525
P38,MYBB_513_525
ERK,PLEK_106_118
ERK,GRIK2_708_720
ERK,ACM1_421_433
ERK,IKKB_686_698
ERK,PP2AB_297_309
P38,PP2AB_297_309
ERK,RBL2_655_667
JNK,RBL2_655_667
P38,RBL2_655_667
ERK,RS6_228_240
ERK,FRAP_2443_2455
ERK,K6PL_766_778
JNK,LMNB1_16_28
P38,LMNB1_16_28
ERK,LMNB1_16_28
ERK,NEK2_172_184
P38,NEK2_172_184
JNK,NEK2_172_184
ERK,RBL2_959_971
JNK,RBL2_959_971
P38,RBL2_959_971
ERK,RYR1_4317_4329
P38,KAPCG_192_206
JNK,KAPCG_192_206
ERK,KAPCG_192_206
P38,NEK3_158_170
ERK,NEK3_158_170
JNK,NEK3_158_170
ERK,PRKDC_2618_2630
ERK,KCNA1_438_450
ERK,ACM5_494_506
JNK,GPR6_349_361
ERK,GPR6_349_361
P38,GPR6_349_361
ERK,KCNA2_442_454
ERK,MARCS_160_172
ERK,NMDZ1_890_902
JNK,SRC8_CHICK_423_435
ERK,SRC8_CHICK_423_435
P38,SRC8_CHICK_423_435
P38,CSK21_355_367
ERK,CSK21_355_367
JNK,CSK21_355_367
ERK,KCNA3_461_473
ERK,RAB1A_187_199
ERK,STK6_283_295
ERK,MYPC3_268_280
P38,ADDB_696_708
ERK,ADDB_696_708
JNK,ADDB_696_708
ERK,KCNB1_489_501
P38,MK10_214_226
ERK,MK10_214_226
JNK,MK10_214_226
ERK,RAF1_253_265
JNK,RAF1_253_265
ERK,VTNC_390_402
ERK,ADDB_706_718
P38,ADDB_706_718
JNK,ADDB_706_718
ERK,C1R_201_213
JNK,ELK1_356_368
P38,ELK1_356_368
ERK,ELK1_356_368
ERK,KIF11_919_931
P38,KIF11_919_931
ERK,TAU_524_536
JNK,TAU_524_536
P38,TAU_524_536
ERK,CREB1_126_138
ERK,AKT1_301_313
P38,AKT1_301_313
JNK,AKT1_301_313
JNK,ELK1_410_422
P38,ELK1_410_422
ERK,ELK1_410_422
ERK,KIF2C_105_118_S106G
JNK,MP2K1_287_299
P38,MP2K1_287_299
ERK,MP2K1_287_299
P38,TLE2_246_258
ERK,TLE2_246_258
JNK,TLE2_246_258
ERK,DESP_2842_2854
ERK,H32_3_18
ERK,KPCB_19_31_A25S
P38,MPH6_140_152
ERK,MPH6_140_152
JNK,MPH6_140_152
ERK,P53_308_323
P38,P53_308_323
ERK,RB_350_362
P38,RB_350_362
P38,E1A_ADE05_212_224
ERK,E1A_ADE05_212_224
JNK,E1A_ADE05_212_224
ERK,PLM_76_88
ERK,PDE5A_95_107
P38,PDE5A_95_107
JNK,PDE5A_95_107
ERK,RB_774_786
P38,RB_774_786
JNK,RB_774_786
JNK,KCNA6_504_516
P38,KCNA6_504_516
ERK,KCNA6_504_516
ERK,CDK7_163_175
JNK,CDK7_163_175
P38,CDK7_163_175
ERK,MPIP3_208_220
JNK,MPIP3_208_220
JNK,PDPK1_27_39
P38,PDPK1_27_39
ERK,RB_803_815
P38,RB_803_815
JNK,RB_803_815
ERK,PYGL_8_20
