Dataset,Barcode,Peptide,Kinase,LFC,totalMeanLFC
Pair16,710230321,ACM1_444_456,ERK,0.7487748964558394,0.7487748964558394
Pair16,710230321,ACM1_444_456,JNK,0.7487748964558394,0.7487748964558394
Pair16,710230321,ACM1_444_456,P38,0.7487748964558394,0.7487748964558394
Pair16,710230321,ADDB_696_708,ERK,0.4509841956852352,0.4509841956852352
Pair16,710230321,ADDB_696_708,JNK,0.4509841956852352,0.4509841956852352
Pair16,710230321,ADDB_696_708,P38,0.4509841956852352,0.4509841956852352
Pair16,710230321,ADDB_706_718,ERK,0.09181608736996072,0.09181608736996072
Pair16,710230321,ADDB_706_718,JNK,0.09181608736996072,0.09181608736996072
Pair16,710230321,ADDB_706_718,P38,0.09181608736996072,0.09181608736996072
Pair16,710230321,BAD_69_81,ERK,0.7483105677602158,0.7483105677602158
Pair16,710230321,CA2D1_494_506,ERK,0.08570374936806768,0.08570374936806768
Pair16,710230321,CD27_212_224,ERK,0.18637319853546597,0.18637319853546597
Pair16,710230321,CD27_212_224,JNK,0.18637319853546597,0.18637319853546597
Pair16,710230321,CD27_212_224,P38,0.18637319853546597,0.18637319853546597
Pair16,710230321,CDK7_163_175,JNK,-0.28654404325179916,-0.28654404325179916
Pair16,710230321,CDK7_163_175,P38,-0.28654404325179916,-0.28654404325179916
Pair16,710230321,DCX_49_61,ERK,-0.22897256976016056,-0.22897256976016056
Pair16,710230321,DESP_2842_2854,P38,0.2575592757676426,0.2575592757676426
Pair16,710230321,E1A_ADE05_212_224,P38,-0.7954440594319356,-0.7954440594319356
Pair16,710230321,F263_454_466,ERK,-0.1134941311408344,-0.1134941311408344
Pair16,710230321,FIBA_569_581,ERK,-0.15200309344505003,-0.15200309344505003
Pair16,710230321,FIBA_569_581,JNK,-0.15200309344505003,-0.15200309344505003
Pair16,710230321,FOXO3_25_37,ERK,0.11611122975309573,0.11611122975309573
Pair16,710230321,FOXO3_25_37,P38,0.11611122975309573,0.11611122975309573
Pair16,710230321,GPR6_349_361,ERK,0.6401040549136172,0.6401040549136172
Pair16,710230321,GPR6_349_361,JNK,0.6401040549136172,0.6401040549136172
Pair16,710230321,GPR6_349_361,P38,0.6401040549136172,0.6401040549136172
Pair16,710230321,GSUB_61_73,ERK,-0.13857522990858184,-0.13857522990858184
Pair16,710230321,IF4E_203_215,ERK,-0.07769128450769403,-0.07769128450769403
Pair16,710230321,IF4E_203_215,P38,-0.07769128450769403,-0.07769128450769403
Pair16,710230321,KAP2_92_104,ERK,0.2415632720065206,0.2415632720065206
Pair16,710230321,KAPCG_192_206,ERK,0.08497512902259219,0.08497512902259219
Pair16,710230321,KCNA2_442_454,JNK,0.16227142889887713,0.16227142889887713
Pair16,710230321,KCNA2_442_454,P38,0.16227142889887713,0.16227142889887713
Pair16,710230321,KCNA6_504_516,ERK,-0.014710783375440961,-0.014710783375440961
Pair16,710230321,KCNA6_504_516,JNK,-0.014710783375440961,-0.014710783375440961
Pair16,710230321,LIPS_944_956,ERK,-0.08816018841974804,-0.08816018841974804
Pair16,710230321,MARCS_152_164,ERK,0.314233703097361,0.314233703097361
Pair16,710230321,MARCS_152_164,JNK,0.314233703097361,0.314233703097361
Pair16,710230321,MARCS_152_164,P38,0.314233703097361,0.314233703097361
Pair16,710230321,MARCS_160_172,ERK,0.4728603258756219,0.4728603258756219
Pair16,710230321,MARCS_160_172,JNK,0.4728603258756219,0.4728603258756219
Pair16,710230321,MARCS_160_172,P38,0.4728603258756219,0.4728603258756219
Pair16,710230321,MBP_222_234,ERK,0.26153238066856144,0.26153238066856144
Pair16,710230321,MBP_222_234,JNK,0.26153238066856144,0.26153238066856144
Pair16,710230321,MP2K1_287_299,ERK,0.06021752283410642,0.06021752283410642
Pair16,710230321,MP2K1_287_299,JNK,0.06021752283410642,0.06021752283410642
Pair16,710230321,MP2K1_287_299,P38,0.06021752283410642,0.06021752283410642
Pair16,710230321,MPIP3_208_220,ERK,0.050098611590365216,0.050098611590365216
Pair16,710230321,MPIP3_208_220,JNK,0.050098611590365216,0.050098611590365216
Pair16,710230321,MPIP3_208_220,P38,0.050098611590365216,0.050098611590365216
Pair16,710230321,NEK2_172_184,ERK,0.12089256090501932,0.12089256090501932
Pair16,710230321,NEK2_172_184,P38,0.12089256090501932,0.12089256090501932
Pair16,710230321,NEK3_158_170,ERK,-0.1987195923520808,-0.1987195923520808
Pair16,710230321,P53_12_24,ERK,-0.27056246263631945,-0.27056246263631945
Pair16,710230321,P53_12_24,JNK,-0.27056246263631945,-0.27056246263631945
Pair16,710230321,P53_12_24,P38,-0.27056246263631945,-0.27056246263631945
Pair16,710230321,PP2AB_297_309,JNK,0,0
Pair16,710230321,PPR1A_28_40,JNK,0.09259864191210276,0.09259864191210276
Pair16,710230321,PPR1A_28_40,P38,0.09259864191210276,0.09259864191210276
Pair16,710230321,PRKDC_2618_2630,P38,0.21196325514217484,0.21196325514217484
Pair16,710230321,PTK6_436_448,P38,0.25543268310045564,0.25543268310045564
Pair16,710230321,RAF1_253_265,ERK,0.37793350461610453,0.37793350461610453
Pair16,710230321,RAF1_253_265,JNK,0.37793350461610453,0.37793350461610453
Pair16,710230321,RAF1_253_265,P38,0.37793350461610453,0.37793350461610453
Pair16,710230321,RB_242_254,ERK,0.40593970753295405,0.40593970753295405
Pair16,710230321,RB_242_254,P38,0.40593970753295405,0.40593970753295405
Pair16,710230321,RB_803_815,ERK,-0.18955095227705332,-0.18955095227705332
Pair16,710230321,RB_803_815,JNK,-0.18955095227705332,-0.18955095227705332
Pair16,710230321,RBL2_655_667,ERK,0.1335307641819128,0.1335307641819128
Pair16,710230321,RBL2_655_667,JNK,0.1335307641819128,0.1335307641819128
Pair16,710230321,RBL2_655_667,P38,0.1335307641819128,0.1335307641819128
Pair16,710230321,TAU_524_536,ERK,0.30737978631820706,0.30737978631820706
Pair16,710230321,TAU_524_536,JNK,0.30737978631820706,0.30737978631820706
Pair16,710230321,TAU_524_536,P38,0.30737978631820706,0.30737978631820706
Pair16,710230321,YAP1_121_133,ERK,0.6022998171541674,0.6022998171541674
Pair16,710230321,YAP1_121_133,JNK,0.6022998171541674,0.6022998171541674
Pair16,710230321,YAP1_121_133,P38,0.6022998171541674,0.6022998171541674
Pair16,NA,IKKB_173_185_C179A,ERK,NA,NA
Pair16,NA,ELK1_356_368,ERK,NA,NA
Pair16,NA,MPH6_140_152,P38,NA,NA
Pair16,NA,MYC_51_63,ERK,NA,NA
Pair16,NA,RBL2_632_644,ERK,NA,NA
Pair16,NA,ATF2_47_59,ERK,NA,NA
Pair16,NA,CSK21_355_367,ERK,NA,NA
Pair16,NA,ELK1_410_422,ERK,NA,NA
Pair16,NA,FRAP_2475_2487,P38,NA,NA
Pair16,NA,KIF11_919_931,ERK,NA,NA
Pair16,NA,LMNB1_16_28,ERK,NA,NA
Pair16,NA,MK10_214_226,ERK,NA,NA
Pair16,NA,MYBB_513_525,ERK,NA,NA
Pair16,NA,PDE5A_95_107,ERK,NA,NA
Pair16,NA,TLE2_246_258,ERK,NA,NA
Pair16,NA,AKT1_301_313,ERK,NA,NA
Pair16,NA,ELK1_356_368,JNK,NA,NA
Pair16,NA,ELK1_410_422,JNK,NA,NA
Pair16,NA,IKBA_26_38,ERK,NA,NA
Pair16,NA,IKKB_686_698,ERK,NA,NA
Pair16,NA,KPB1_1011_1023,P38,NA,NA
Pair16,NA,MP2K1_281_293,ERK,NA,NA
Pair16,NA,P53_308_323,ERK,NA,NA
Pair16,NA,PDPK1_27_39,ERK,NA,NA
Pair16,NA,RB_774_786,ERK,NA,NA
Pair16,NA,BRCA1_1451_1463,ERK,NA,NA
Pair16,NA,C1R_201_213,ERK,NA,NA
Pair16,NA,COF1_17_29,ERK,NA,NA
Pair16,NA,CSK21_355_367,JNK,NA,NA
Pair16,NA,ERF_519_531,ERK,NA,NA
Pair16,NA,MP2K1_281_293,JNK,NA,NA
Pair16,NA,MYC_51_63,JNK,NA,NA
Pair16,NA,PDE5A_95_107,JNK,NA,NA
Pair16,NA,RAB1A_187_199,ERK,NA,NA
Pair16,NA,RBL2_632_644,JNK,NA,NA
Pair16,NA,SRC8_CHICK_423_435,ERK,NA,NA
Pair16,NA,TLE2_246_258,JNK,NA,NA
Pair16,NA,ATF2_47_59,JNK,NA,NA
Pair16,NA,KIF11_919_931,JNK,NA,NA
Pair16,NA,MK10_214_226,JNK,NA,NA
Pair16,NA,MYBB_513_525,JNK,NA,NA
Pair16,NA,P53_308_323,JNK,NA,NA
Pair16,NA,RAB1A_187_199,JNK,NA,NA
Pair16,NA,RB_774_786,JNK,NA,NA
Pair16,NA,SRC8_CHICK_423_435,JNK,NA,NA
Pair16,NA,AKT1_301_313,JNK,NA,NA
Pair16,NA,BRCA1_1451_1463,JNK,NA,NA
Pair16,NA,C1R_201_213,JNK,NA,NA
Pair16,NA,CSK21_355_367,P38,NA,NA
Pair16,NA,ELK1_356_368,P38,NA,NA
Pair16,NA,ELK1_410_422,P38,NA,NA
Pair16,NA,KCNA1_438_450,ERK,NA,NA
Pair16,NA,KIF11_919_931,P38,NA,NA
Pair16,NA,LMNB1_16_28,JNK,NA,NA
Pair16,NA,MP2K1_281_293,P38,NA,NA
Pair16,NA,MYBB_513_525,P38,NA,NA
Pair16,NA,P53_308_323,P38,NA,NA
Pair16,NA,PDE5A_95_107,P38,NA,NA
Pair16,NA,RBL2_632_644,P38,NA,NA
Pair16,NA,ATM_1972_1984,JNK,NA,NA
Pair16,NA,C1R_201_213,P38,NA,NA
Pair16,NA,ERF_519_531,P38,NA,NA
Pair16,NA,IKKB_686_698,JNK,NA,NA
Pair16,NA,KCNA3_461_473,JNK,NA,NA
Pair16,NA,PDPK1_27_39,JNK,NA,NA
Pair16,NA,RB_774_786,P38,NA,NA
Pair16,NA,RBL2_959_971,ERK,NA,NA
Pair16,NA,SRC8_CHICK_423_435,P38,NA,NA
Pair16,NA,TLE2_246_258,P38,NA,NA
Pair16,NA,CDN1B_151_163,P38,NA,NA
Pair16,NA,COF1_17_29,P38,NA,NA
Pair16,NA,IKKB_686_698,P38,NA,NA
Pair16,NA,RBL2_959_971,JNK,NA,NA
Pair16,NA,ATF2_47_59,P38,NA,NA
Pair16,NA,KCNA1_438_450,JNK,NA,NA
Pair16,NA,LMNB1_16_28,P38,NA,NA
Pair16,NA,AKT1_301_313,P38,NA,NA
Pair16,NA,MK10_214_226,P38,NA,NA
Pair16,NA,RBL2_959_971,P38,NA,NA
Pair16,NA,KCNA3_461_473,P38,NA,NA
