Kinase,Score,Rank,Method,Perc,Qrt,hgnc_symbol,group,KinaseFamily,subfamily
AAK1,298,265,KEA3,0.09714285714285714,1,AAK1,OTHER,"NAK",BIKE
ABL1,98.33333333333333,96,KEA3,0.68,3,ABL1,TK,ABL,NA
ABL2,167,173,KEA3,0.4114285714285714,2,ABL2,TK,ABL,NA
ACVR1,73,54,KEA3,0.8314285714285714,4,ACVR1,TKL,STKR,TYPE1
ACVR1B,178.5,184,KEA3,0.36857142857142855,2,ACVR1B,TKL,STKR,TYPE1
ACVR2B,212,211,KEA3,0.27714285714285714,2,ACVR2B,TKL,STKR,TYPE2
AKT1,70.33333333333333,51,KEA3,0.8428571428571429,4,AKT1,AGC,AKT,NA
AKT2,81.33333333333333,68,KEA3,0.7828571428571428,4,AKT2,AGC,AKT,NA
AKT3,102,105,KEA3,0.6542857142857142,3,AKT3,AGC,AKT,NA
ALK,118.5,119,KEA3,0.5971428571428572,3,ALK,TK,ALK,NA
ARAF,73.5,55,KEA3,0.8285714285714286,4,ARAF,TKL,RAF,RAF
ATM,54,33,KEA3,0.8971428571428571,4,ATM,ATYPICAL,PIKK,ATM
ATR,37.666666666666664,21,KEA3,0.9342857142857143,4,ATR,ATYPICAL,PIKK,ATR
AURKA,21.666666666666668,5,KEA3,0.9857142857142858,4,AURKA,OTHER,AUR,NA
AURKB,75.66666666666667,60,KEA3,0.8057142857142857,4,AURKB,OTHER,AUR,NA
AURKC,185.5,191,KEA3,0.3485714285714286,2,AURKC,OTHER,AUR,NA
AXL,197,205,KEA3,0.29428571428571426,2,AXL,TK,AXL,NA
BLK,257,234,KEA3,0.18857142857142858,1,BLK,TK,SRC,SRCB
BMP2K,326,288,KEA3,0.03142857142857143,1,BMP2K,OTHER,"NAK",BIKE
BMPR1A,101.5,104,KEA3,0.6571428571428571,3,BMPR1A,TKL,STKR,TYPE1
BMPR1B,110,112,KEA3,0.62,3,BMPR1B,TKL,STKR,TYPE1
BMPR2,203.5,206,KEA3,0.2914285714285714,2,BMPR2,TKL,STKR,TYPE2
BMX,145,147,KEA3,0.49714285714285716,2,BMX,TK,TEC,NA
BRAF,115,116,KEA3,0.6085714285714285,3,BRAF,TKL,RAF,RAF
BRSK1,224,219,KEA3,0.24571428571428572,1,BRSK1,CAMK,CAMKL,BRSK
BRSK2,304,271,KEA3,0.08,1,BRSK2,CAMK,CAMKL,BRSK
BTK,81.66666666666667,69,KEA3,0.78,4,BTK,TK,TEC,NA
BUB1,143,145,KEA3,0.5085714285714286,3,BUB1,OTHER,BUB,NA
CAMK1,137.33333333333334,137,KEA3,0.5371428571428571,3,CAMK1,CAMK,CAMK1,NA
CAMK1D,242,228,KEA3,0.21428571428571427,1,CAMK1D,CAMK,CAMK1,NA
CAMK2A,74.33333333333333,58,KEA3,0.8171428571428572,4,CAMK2A,CAMK,CAMK2,NA
CAMK2B,160,163,KEA3,0.44571428571428573,2,CAMK2B,CAMK,CAMK2,NA
CAMK2D,91,86,KEA3,0.7142857142857143,3,CAMK2D,CAMK,CAMK2,NA
CAMK2G,23,6,KEA3,0.9828571428571429,4,CAMK2G,CAMK,CAMK2,NA
CAMK4,99,98,KEA3,0.6742857142857143,3,CAMK4,CAMK,CAMK1,NA
CAMKK1,162.33333333333334,167,KEA3,0.43142857142857144,2,CAMKK1,OTHER,CAMKK,META
CAMKK2,149,151,KEA3,0.4857142857142857,2,CAMKK2,OTHER,CAMKK,META
CDC42BPA,281,251,KEA3,0.13714285714285715,1,CDC42BPA,AGC,DMPK,GEK
CDC7,194.5,200,KEA3,0.3171428571428571,2,CDC7,OTHER,CDC7,NA
CDK1,89,82,KEA3,0.7285714285714285,3,CDK1,CMGC,CDK,CDC2
CDK11A,332,292,KEA3,0.02,1,CDK11A,NA,NA,NA
CDK12,315,280,KEA3,0.054285714285714284,1,CDK12,CMGC,CDK,CRK7
CDK15,261,237,KEA3,0.18,1,CDK15,CMGC,CDK,PFTAIRE
CDK16,248,230,KEA3,0.20285714285714285,1,CDK16,CMGC,CDK,PCTAIRE
CDK18,223,217,KEA3,0.25142857142857145,2,CDK18,CMGC,CDK,PCTAIRE
CDK19,195,201,KEA3,0.3142857142857143,2,CDK19,CMGC,CDK,CDK8
CDK2,52.666666666666664,31,KEA3,0.9057142857142857,4,CDK2,CMGC,CDK,CDC2
CDK20,187,192,KEA3,0.34285714285714286,2,CDK20,CMGC,CDK,CCRK
CDK3,176.33333333333334,182,KEA3,0.37714285714285717,2,CDK3,CMGC,CDK,CDC2
CDK4,70.33333333333333,51,KEA3,0.8428571428571429,4,CDK4,CMGC,CDK,CDK4
CDK5,64.66666666666667,43,KEA3,0.8685714285714285,4,CDK5,CMGC,CDK,CDK5
CDK6,85.33333333333333,75,KEA3,0.7628571428571429,4,CDK6,CMGC,CDK,CDK4
CDK7,28.666666666666668,15,KEA3,0.9542857142857143,4,CDK7,CMGC,CDK,CDK7
CDK8,189,194,KEA3,0.3342857142857143,2,CDK8,CMGC,CDK,CDK8
CDK9,23.333333333333332,7,KEA3,0.98,4,CDK9,CMGC,CDK,CDK9
CDKL3,301,268,KEA3,0.08857142857142856,1,CDKL3,CMGC,CDKL,NA
CDKL5,85,74,KEA3,0.7657142857142857,4,CDKL5,CMGC,CDKL,NA
CHEK1,43.333333333333336,24,KEA3,0.9257142857142857,4,CHEK1,CAMK,CAMKL,CHK1
CHEK2,57.666666666666664,38,KEA3,0.8828571428571429,4,CHEK2,CAMK,RAD53,NA
CHUK,54.666666666666664,34,KEA3,0.8942857142857142,4,CHUK,OTHER,IKK,NA
CLK1,159.5,162,KEA3,0.44857142857142857,2,CLK1,CMGC,CLK,NA
CLK2,106.5,109,KEA3,0.6371428571428571,3,CLK2,CMGC,CLK,NA
CLK3,164,170,KEA3,0.4228571428571429,2,CLK3,CMGC,CLK,NA
CLK4,322,286,KEA3,0.037142857142857144,1,CLK4,CMGC,CLK,NA
CSF1R,334,294,KEA3,0.014285714285714285,1,CSF1R,TK,PDGFR,NA
CSK,165.66666666666666,172,KEA3,0.41714285714285715,2,CSK,TK,CSK,NA
CSNK1A1,73.66666666666667,56,KEA3,0.8257142857142857,4,CSNK1A1,CK1,CK1,CK1-A
CSNK1A1L,338,298,KEA3,0.002857142857142857,1,CSNK1A1L,CK1,CK1,CK1-A
CSNK1D,32,19,KEA3,0.94,4,CSNK1D,CK1,CK1,CK1-D
CSNK1E,116.33333333333333,117,KEA3,0.6057142857142858,3,CSNK1E,CK1,CK1,CK1-D
CSNK1G1,223.5,218,KEA3,0.24857142857142858,1,CSNK1G1,CK1,CK1,CK1-G
CSNK1G2,217.5,214,KEA3,0.26285714285714284,2,CSNK1G2,CK1,CK1,CK1-G
CSNK1G3,258,235,KEA3,0.18571428571428572,1,CSNK1G3,CK1,CK1,CK1-G
CSNK2A1,109,111,KEA3,0.6228571428571429,3,CSNK2A1,CMGC,CK2,NA
CSNK2A2,102.66666666666667,106,KEA3,0.6514285714285715,3,CSNK2A2,CMGC,CK2,NA
DAPK1,16.666666666666668,3,KEA3,0.9942857142857143,4,DAPK1,CAMK,DAPK,DAPK
DAPK3,28.666666666666668,15,KEA3,0.9542857142857143,4,DAPK3,CAMK,DAPK,DAPK
DCLK1,264,239,KEA3,0.1742857142857143,1,DCLK1,CAMK,DCAMKL,NA
DDR1,141,142,KEA3,0.52,3,DDR1,TK,DDR,NA
DDR2,51,30,KEA3,0.9085714285714286,4,DDR2,TK,DDR,NA
DMPK,217,213,KEA3,0.26571428571428574,2,DMPK,AGC,DMPK,GEK
DYRK1A,21.666666666666668,5,KEA3,0.9857142857142858,4,DYRK1A,CMGC,DYRK,DYRK1
DYRK1B,89.33333333333333,83,KEA3,0.7257142857142858,3,DYRK1B,CMGC,DYRK,DYRK1
DYRK2,53.666666666666664,32,KEA3,0.9,4,DYRK2,CMGC,DYRK,DYRK2
DYRK3,189.5,195,KEA3,0.3314285714285714,2,DYRK3,CMGC,DYRK,DYRK2
DYRK4,70,50,KEA3,0.8485714285714285,4,DYRK4,CMGC,DYRK,DYRK2
EEF2K,67.5,49,KEA3,0.8514285714285714,4,EEF2K,ATYPICAL,ALPHA,EEF2K
EGFR,118.66666666666667,120,KEA3,0.5942857142857143,3,EGFR,TK,EGFR,NA
EIF2AK1,314,279,KEA3,0.05714285714285714,1,EIF2AK1,OTHER,PEK,HRI
EIF2AK2,23.666666666666668,8,KEA3,0.9771428571428571,4,EIF2AK2,OTHER,PEK,PKR
EIF2AK3,336,296,KEA3,0.008571428571428572,1,EIF2AK3,OTHER,PEK,PEK
EPHA2,320,284,KEA3,0.04285714285714286,1,EPHA2,TK,EPH,NA
EPHA3,155.5,158,KEA3,0.46,2,EPHA3,TK,EPH,NA
EPHA4,327,289,KEA3,0.02857142857142857,1,EPHA4,TK,EPH,NA
EPHA8,335,295,KEA3,0.011428571428571429,1,EPHA8,TK,EPH,NA
EPHB1,323,287,KEA3,0.03428571428571429,1,EPHB1,TK,EPH,NA
EPHB2,289,258,KEA3,0.11714285714285715,1,EPHB2,TK,EPH,NA
EPHB3,163,169,KEA3,0.4257142857142857,2,EPHB3,TK,EPH,NA
ERBB2,95.5,92,KEA3,0.6914285714285714,3,ERBB2,TK,EGFR,NA
ERBB4,319,283,KEA3,0.045714285714285714,1,ERBB4,TK,EGFR,NA
FASTK,233,226,KEA3,0.22,1,FASTK,ATYPICAL,FAST,NA
FER,14.5,2,KEA3,0.9971428571428571,4,FER,TK,FER,NA
FES,266,241,KEA3,0.16857142857142857,1,FES,TK,FER,NA
FGFR1,160.33333333333334,164,KEA3,0.44285714285714284,2,FGFR1,TK,FGFR,NA
FGFR2,137.5,138,KEA3,0.5342857142857143,3,FGFR2,TK,FGFR,NA
FGFR3,161,165,KEA3,0.43714285714285717,2,FGFR3,TK,FGFR,NA
FGFR4,87,80,KEA3,0.74,3,FGFR4,TK,FGFR,NA
FGR,83.5,72,KEA3,0.7714285714285715,4,FGR,TK,SRC,SRCA
FLT1,305,272,KEA3,0.07714285714285714,1,FLT1,TK,VEGFR,NA
FLT3,141,142,KEA3,0.52,3,FLT3,TK,PDGFR,NA
FLT4,265,240,KEA3,0.17142857142857143,1,FLT4,TK,VEGFR,NA
FRK,196,202,KEA3,0.30857142857142855,2,FRK,TK,SRC,FRK
FYN,122.33333333333333,123,KEA3,0.5828571428571429,3,FYN,TK,SRC,SRCA
GRK1,152,155,KEA3,0.4685714285714286,2,GRK1,AGC,GRK,GRK
GRK2,44.666666666666664,25,KEA3,0.9228571428571428,4,GRK2,AGC,GRK,BARK
GRK3,229.5,222,KEA3,0.23714285714285716,1,GRK3,AGC,GRK,BARK
GRK5,29.666666666666668,17,KEA3,0.9457142857142857,4,GRK5,AGC,GRK,GRK
GRK6,168,174,KEA3,0.4057142857142857,2,GRK6,AGC,GRK,GRK
GSK3A,74,57,KEA3,0.82,4,GSK3A,CMGC,GSK,NA
GSK3B,71.33333333333333,52,KEA3,0.84,4,GSK3B,CMGC,GSK,NA
HASPIN,222,216,KEA3,0.2542857142857143,2,HASPIN,OTHER,HASPIN,NA
HCK,128,127,KEA3,0.5657142857142857,3,HCK,TK,SRC,SRCB
HIPK1,119,121,KEA3,0.5885714285714285,3,HIPK1,CMGC,DYRK,HIPK
HIPK2,25.666666666666668,12,KEA3,0.9657142857142857,4,HIPK2,CMGC,DYRK,HIPK
HIPK3,290,259,KEA3,0.11428571428571428,1,HIPK3,CMGC,DYRK,HIPK
HIPK4,180,186,KEA3,0.3628571428571429,2,HIPK4,CMGC,DYRK,HIPK
ICK,193,198,KEA3,0.32285714285714284,2,CILK1,CMGC,RCK,NA
IGF1R,138.33333333333334,140,KEA3,0.5285714285714286,3,IGF1R,TK,INSR,NA
IKBKB,29,16,KEA3,0.9485714285714286,4,IKBKB,OTHER,IKK,NA
IKBKE,78.33333333333333,64,KEA3,0.7942857142857143,4,IKBKE,OTHER,IKK,NA
ILK,152,155,KEA3,0.4685714285714286,2,ILK,TKL,MLK,ILK
