Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
bundle of His cell-Purkinje myocyte adhesion involved in cell communication (GO:0086073),1/6,0.00179884089014784,0.02012400099509621,0,0,799.56,5053.709147518722,DSP
ventricular compact myocardium morphogenesis (GO:0003223),1/6,0.00179884089014784,0.02012400099509621,0,0,799.56,5053.709147518722,DSP
desmosome organization (GO:0002934),1/7,0.002098387281973246,0.02012400099509621,0,0,666.2666666666667,4108.590825691207,DSP
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042),1/7,0.002098387281973246,0.02012400099509621,0,0,666.2666666666667,4108.590825691207,DSP
anterograde trans-synaptic signaling (GO:0098916),2/244,0.002152733683658607,0.02012400099509621,0,0,40.8099173553719,250.61438660529578,CHRM1;PRKAR2A
negative regulation of cAMP-dependent protein kinase activity (GO:2000480),1/8,0.002397858969227747,0.02012400099509621,0,0,571.0571428571428,3445.2899826083253,PRKAR2A
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197),1/8,0.002397858969227747,0.02012400099509621,0,0,571.0571428571428,3445.2899826083253,CHRM1
bundle of His cell to Purkinje myocyte communication (GO:0086069),1/9,0.0026972559359141816,0.02012400099509621,0,0,499.65,2955.689739283532,DSP
regulation of glial cell proliferation (GO:0060251),1/9,0.0026972559359141816,0.02012400099509621,0,0,499.65,2955.689739283532,CHRM1
positive regulation of B cell differentiation (GO:0045579),1/9,0.0026972559359141816,0.02012400099509621,0,0,499.65,2955.689739283532,CD27
immunoglobulin mediated immune response (GO:0016064),1/10,0.002996578172872153,0.02012400099509621,0,0,444.1111111111111,2580.4117942926405,CD27
protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205),1/11,0.0032958256764104633,0.02012400099509621,0,0,399.68,2284.210591570385,CHRM1
B cell mediated immunity (GO:0019724),1/11,0.0032958256764104633,0.02012400099509621,0,0,399.68,2284.210591570385,CD27
chemical synaptic transmission (GO:0007268),2/306,0.003360511934995119,0.02012400099509621,0,0,32.38486842105263,184.45326298370307,CHRM1;PRKAR2A
epithelial cell-cell adhesion (GO:0090136),1/12,0.0035949984464796287,0.02012400099509621,0,0,363.3272727272727,2044.8828145385057,DSP
carboxylic acid catabolic process (GO:0046395),1/12,0.0035949984464796287,0.02012400099509621,0,0,363.3272727272727,2044.8828145385057,BCKDK
regulation of ventricular cardiac muscle cell action potential (GO:0098911),1/12,0.0035949984464796287,0.02012400099509621,0,0,363.3272727272727,2044.8828145385057,DSP
regulation of cAMP-dependent protein kinase activity (GO:2000479),1/14,0.004193119798694676,0.02012400099509621,0,0,307.4,1682.8029678019434,PRKAR2A
protein localization to cell-cell junction (GO:0150105),1/15,0.004492068393214533,0.02012400099509621,0,0,285.42857142857144,1542.8675927558304,DSP
regulation of cellular carbohydrate metabolic process (GO:0010675),1/16,0.004790942275014269,0.02012400099509621,0,0,266.38666666666666,1422.7786907214238,BCKDK
activation of protein kinase A activity (GO:0034199),1/17,0.005089741453570572,0.02012400099509621,0,0,249.725,1318.6799159042428,PRKAR2A
G protein-coupled acetylcholine receptor signaling pathway (GO:0007213),1/18,0.0053884659389882355,0.02012400099509621,0,0,235.0235294117647,1227.644124299904,CHRM1
regulation of B cell differentiation (GO:0045577),1/18,0.0053884659389882355,0.02012400099509621,0,0,235.0235294117647,1227.644124299904,CD27
intermediate filament organization (GO:0045109),1/18,0.0053884659389882355,0.02012400099509621,0,0,235.0235294117647,1227.644124299904,DSP
cellular response to glucagon stimulus (GO:0071377),1/19,0.005687115738983334,0.02012400099509621,0,0,221.95555555555555,1147.4107993095174,PRKAR2A
