Kinase,Total_Rank
JNK,1
ERK,1.105263157894737
P38,1.2105263157894737
NMO,1.3157894736842106
DYRK,1.368421052631579
PKCD,1.368421052631579
CDK,1.4736842105263157
CK1,1.4736842105263157
DMPK,1.5263157894736843
AUR,1.5789473684210527
PLK,1.5789473684210527
STE7,1.5789473684210527
STKR,1.631578947368421
PKA,1.736842105263158
PKCI,1.8421052631578947
PKCH,1.9473684210526316
PAKA,2
"NAK",2.1052631578947367
FRAY,2.1578947368421053
PASK,2.1578947368421053
PKG,2.210526315789474
TLK,2.210526315789474
GRK,2.263157894736842
WNK,2.263157894736842
AKT,2.3157894736842106
BRSK,2.3684210526315788
CHK1,2.3684210526315788
HAL,2.3684210526315788
MSN,2.4210526315789473
RIPK,2.4210526315789473
BARK2,2.473684210526316
PAKB,2.473684210526316
TTK,2.473684210526316
BUD32,2.526315789473684
IKK,2.526315789473684
MLK,2.526315789473684
PIM,2.526315789473684
COT,2.5789473684210527
PHK,2.5789473684210527
PKN,2.5789473684210527
RSK,2.5789473684210527
NDR,2.6315789473684212
MAPKAPK,2.6842105263157894
MARK,2.6842105263157894
NUAK,2.6842105263157894
RAF,2.6842105263157894
TAO,2.6842105263157894
STE11,2.736842105263158
MELK,2.789473684210526
PDHK,2.789473684210526
SLK,2.789473684210526
CAMK2,2.8421052631578947
MST,2.8421052631578947
MTOR,2.8421052631578947
NEK,2.8421052631578947
GSK,2.8947368421052633
PEK,2.8947368421052633
PKCA,2.8947368421052633
CLK,2.9473684210526314
RAD53,2.9473684210526314
ULK,2.9473684210526314
VRK1,2.9473684210526314
CAMKK,3
KHS,3
MOS,3
LKB,3.0526315789473686
NIK,3.0526315789473686
PDK1,3.0526315789473686
PKD,3.0526315789473686
ATM,3.1052631578947367
CAMK1,3.1052631578947367
IRAK,3.1052631578947367
ATR,3.1578947368421053
AMPK,3.3157894736842106
CK2,3.3157894736842106
PRKDC,3.3684210526315788
QIK,3.3684210526315788
DAPK,3.4210526315789473
SGK,3.526315789473684
MLCK,3.5789473684210527
PDK,89.78947368421052
