Kinase,Total_Rank
JNK,1
ERK,1.1111111111111112
P38,1.1111111111111112
STE7,1.1111111111111112
PKCD,1.2222222222222223
AUR,1.3333333333333333
CK1,1.3333333333333333
DYRK,1.3333333333333333
NMO,1.3333333333333333
CDK,1.4444444444444444
PASK,1.6666666666666667
DMPK,1.7777777777777777
PAKA,1.8888888888888888
PKA,1.8888888888888888
PLK,1.8888888888888888
STKR,1.8888888888888888
AKT,2
FRAY,2.111111111111111
MLK,2.111111111111111
"NAK",2.111111111111111
PKCI,2.111111111111111
BARK2,2.2222222222222223
BRSK,2.2222222222222223
GRK,2.2222222222222223
IKK,2.2222222222222223
TLK,2.2222222222222223
WNK,2.2222222222222223
BUD32,2.3333333333333335
MELK,2.3333333333333335
PKCH,2.3333333333333335
CHK1,2.4444444444444446
HAL,2.4444444444444446
MSN,2.4444444444444446
PKG,2.4444444444444446
RIPK,2.4444444444444446
PAKB,2.5555555555555554
STE11,2.5555555555555554
GSK,2.6666666666666665
NDR,2.6666666666666665
PHK,2.6666666666666665
RAD53,2.6666666666666665
TTK,2.6666666666666665
VRK1,2.6666666666666665
CK2,2.7777777777777777
COT,2.7777777777777777
IRAK,2.7777777777777777
MAPKAPK,2.7777777777777777
MARK,2.7777777777777777
PDHK,2.7777777777777777
PIM,2.7777777777777777
PKN,2.7777777777777777
TAO,2.7777777777777777
CLK,2.888888888888889
NIK,2.888888888888889
NUAK,2.888888888888889
RAF,2.888888888888889
SLK,2.888888888888889
ULK,2.888888888888889
CAMK2,3
CAMKK,3
KHS,3
LKB,3
MST,3
MTOR,3
NEK,3
PKCA,3
RSK,3
ATR,3.111111111111111
CAMK1,3.111111111111111
PDK1,3.111111111111111
PEK,3.111111111111111
MOS,3.2222222222222223
PRKDC,3.2222222222222223
AMPK,3.3333333333333335
ATM,3.3333333333333335
PKD,3.3333333333333335
DAPK,3.4444444444444446
QIK,3.4444444444444446
SGK,3.4444444444444446
MLCK,3.7777777777777777
PDK,89.22222222222223
