Kinase,Score,Rank,Method,Perc,Qrt,hgnc_symbol,group,KinaseFamily,subfamily
AAK1,297,260,KEA3,0.1,1,AAK1,OTHER,"NAK",BIKE
ABL1,22.666666666666668,7,KEA3,0.98,4,ABL1,TK,ABL,NA
ABL2,169,169,KEA3,0.42,2,ABL2,TK,ABL,NA
ACVR1,177,177,KEA3,0.3914285714285714,2,ACVR1,TKL,STKR,TYPE1
ACVR1B,183,183,KEA3,0.3742857142857143,2,ACVR1B,TKL,STKR,TYPE1
ACVR2B,211,210,KEA3,0.28285714285714286,2,ACVR2B,TKL,STKR,TYPE2
AKT1,82.66666666666667,73,KEA3,0.7571428571428571,4,AKT1,AGC,AKT,NA
AKT2,94.66666666666667,91,KEA3,0.6942857142857143,3,AKT2,AGC,AKT,NA
AKT3,122,121,KEA3,0.5857142857142857,3,AKT3,AGC,AKT,NA
ALK,163.5,160,KEA3,0.4514285714285714,2,ALK,TK,ALK,NA
ARAF,148,144,KEA3,0.5085714285714286,3,ARAF,TKL,RAF,RAF
ATM,61.333333333333336,40,KEA3,0.8628571428571429,4,ATM,ATYPICAL,PIKK,ATM
ATR,63.333333333333336,43,KEA3,0.8514285714285714,4,ATR,ATYPICAL,PIKK,ATR
AURKA,78.66666666666667,68,KEA3,0.7742857142857142,4,AURKA,OTHER,AUR,NA
AURKB,47.666666666666664,26,KEA3,0.92,4,AURKB,OTHER,AUR,NA
AURKC,108.5,108,KEA3,0.6371428571428571,3,AURKC,OTHER,AUR,NA
AXL,155,152,KEA3,0.47714285714285715,2,AXL,TK,AXL,NA
BLK,255.5,237,KEA3,0.16857142857142857,1,BLK,TK,SRC,SRCB
BMP2K,324,282,KEA3,0.037142857142857144,1,BMP2K,OTHER,"NAK",BIKE
BMPR1A,197.5,196,KEA3,0.3314285714285714,2,BMPR1A,TKL,STKR,TYPE1
BMPR1B,35,13,KEA3,0.9628571428571429,4,BMPR1B,TKL,STKR,TYPE1
BMPR2,226,224,KEA3,0.21714285714285714,1,BMPR2,TKL,STKR,TYPE2
BMX,57,36,KEA3,0.8828571428571429,4,BMX,TK,TEC,NA
BRAF,168,167,KEA3,0.4257142857142857,2,BRAF,TKL,RAF,RAF
BRSK1,223,221,KEA3,0.2342857142857143,1,BRSK1,CAMK,CAMKL,BRSK
BRSK2,303,266,KEA3,0.08285714285714285,1,BRSK2,CAMK,CAMKL,BRSK
BTK,56.333333333333336,35,KEA3,0.8885714285714286,4,BTK,TK,TEC,NA
BUB1,152.5,151,KEA3,0.48,2,BUB1,OTHER,BUB,NA
CAMK1,141,138,KEA3,0.5285714285714286,3,CAMK1,CAMK,CAMK1,NA
CAMK1D,215,214,KEA3,0.26285714285714284,2,CAMK1D,CAMK,CAMK1,NA
CAMK2A,61.666666666666664,41,KEA3,0.86,4,CAMK2A,CAMK,CAMK2,NA
CAMK2B,167.5,166,KEA3,0.43142857142857144,2,CAMK2B,CAMK,CAMK2,NA
CAMK2D,64,45,KEA3,0.8457142857142858,4,CAMK2D,CAMK,CAMK2,NA
CAMK2G,96,94,KEA3,0.6828571428571428,3,CAMK2G,CAMK,CAMK2,NA
CAMK4,87.33333333333333,76,KEA3,0.7457142857142857,3,CAMK4,CAMK,CAMK1,NA
CAMKK1,148,144,KEA3,0.5085714285714286,3,CAMKK1,OTHER,CAMKK,META
CAMKK2,106.5,107,KEA3,0.6428571428571429,3,CAMKK2,OTHER,CAMKK,META
CDC42BPA,285,252,KEA3,0.12285714285714286,1,CDC42BPA,AGC,DMPK,GEK
CDC7,192.5,192,KEA3,0.3457142857142857,2,CDC7,OTHER,CDC7,NA
CDK1,103.5,102,KEA3,0.66,3,CDK1,CMGC,CDK,CDC2
CDK11A,331,287,KEA3,0.022857142857142857,1,CDK11A,NA,NA,NA
CDK12,314,275,KEA3,0.05714285714285714,1,CDK12,CMGC,CDK,CRK7
CDK15,271,242,KEA3,0.15428571428571428,1,CDK15,CMGC,CDK,PFTAIRE
CDK16,255,236,KEA3,0.17142857142857143,1,CDK16,CMGC,CDK,PCTAIRE
CDK18,126,124,KEA3,0.5742857142857143,3,CDK18,CMGC,CDK,PCTAIRE
CDK19,213,213,KEA3,0.26857142857142857,2,CDK19,CMGC,CDK,CDK8
CDK2,63.666666666666664,44,KEA3,0.8485714285714285,4,CDK2,CMGC,CDK,CDC2
CDK20,201,198,KEA3,0.32285714285714284,2,CDK20,CMGC,CDK,CCRK
CDK3,52.333333333333336,30,KEA3,0.9085714285714286,4,CDK3,CMGC,CDK,CDC2
CDK4,66.33333333333333,50,KEA3,0.8314285714285714,4,CDK4,CMGC,CDK,CDK4
CDK5,95.33333333333333,92,KEA3,0.6885714285714286,3,CDK5,CMGC,CDK,CDK5
CDK6,109.33333333333333,109,KEA3,0.6314285714285715,3,CDK6,CMGC,CDK,CDK4
CDK7,71.33333333333333,59,KEA3,0.8028571428571428,4,CDK7,CMGC,CDK,CDK7
CDK8,216,215,KEA3,0.2571428571428571,2,CDK8,CMGC,CDK,CDK8
CDK9,109.33333333333333,109,KEA3,0.6314285714285715,3,CDK9,CMGC,CDK,CDK9
CDKL3,187,187,KEA3,0.3628571428571429,2,CDKL3,CMGC,CDKL,NA
CDKL5,165.5,163,KEA3,0.44285714285714284,2,CDKL5,CMGC,CDKL,NA
CHEK1,68,52,KEA3,0.8257142857142857,4,CHEK1,CAMK,CAMKL,CHK1
CHEK2,86,75,KEA3,0.7485714285714286,3,CHEK2,CAMK,RAD53,NA
CHUK,29.333333333333332,11,KEA3,0.9685714285714285,4,CHUK,OTHER,IKK,NA
CLK1,105.5,105,KEA3,0.6514285714285715,3,CLK1,CMGC,CLK,NA
CLK2,51.5,29,KEA3,0.9114285714285715,4,CLK2,CMGC,CLK,NA
CLK3,212.5,212,KEA3,0.2742857142857143,2,CLK3,CMGC,CLK,NA
CLK4,320,280,KEA3,0.04285714285714286,1,CLK4,CMGC,CLK,NA
CSF1R,333,289,KEA3,0.017142857142857144,1,CSF1R,TK,PDGFR,NA
CSK,80,69,KEA3,0.7714285714285715,4,CSK,TK,CSK,NA
CSNK1A1,56,34,KEA3,0.8914285714285715,4,CSNK1A1,CK1,CK1,CK1-A
CSNK1A1L,337,293,KEA3,0.005714285714285714,1,CSNK1A1L,CK1,CK1,CK1-A
CSNK1D,83.33333333333333,74,KEA3,0.7542857142857143,4,CSNK1D,CK1,CK1,CK1-D
CSNK1E,98,97,KEA3,0.6742857142857143,3,CSNK1E,CK1,CK1,CK1-D
CSNK1G1,94,90,KEA3,0.6971428571428572,3,CSNK1G1,CK1,CK1,CK1-G
CSNK1G2,234,229,KEA3,0.19714285714285715,1,CSNK1G2,CK1,CK1,CK1-G
CSNK1G3,267,240,KEA3,0.16,1,CSNK1G3,CK1,CK1,CK1-G
CSNK2A1,70,56,KEA3,0.8114285714285714,4,CSNK2A1,CMGC,CK2,NA
CSNK2A2,80.33333333333333,70,KEA3,0.7685714285714286,4,CSNK2A2,CMGC,CK2,NA
DAPK1,132,134,KEA3,0.5428571428571428,3,DAPK1,CAMK,DAPK,DAPK
DAPK3,172.66666666666666,173,KEA3,0.4085714285714286,2,DAPK3,CAMK,DAPK,DAPK
DCLK1,224,222,KEA3,0.23142857142857143,1,DCLK1,CAMK,DCAMKL,NA
DDR1,103,101,KEA3,0.6628571428571428,3,DDR1,TK,DDR,NA
DDR2,168,167,KEA3,0.4257142857142857,2,DDR2,TK,DDR,NA
DMPK,112,113,KEA3,0.6171428571428571,3,DMPK,AGC,DMPK,GEK
DYRK1A,90.66666666666667,84,KEA3,0.72,3,DYRK1A,CMGC,DYRK,DYRK1
DYRK1B,91.66666666666667,85,KEA3,0.7142857142857143,3,DYRK1B,CMGC,DYRK,DYRK1
DYRK2,128.33333333333334,129,KEA3,0.5571428571428572,3,DYRK2,CMGC,DYRK,DYRK2
DYRK3,149,146,KEA3,0.49714285714285716,2,DYRK3,CMGC,DYRK,DYRK2
DYRK4,100.5,98,KEA3,0.6714285714285714,3,DYRK4,CMGC,DYRK,DYRK2
EEF2K,225.5,223,KEA3,0.2257142857142857,1,EEF2K,ATYPICAL,ALPHA,EEF2K
EGFR,70.66666666666667,58,KEA3,0.8057142857142857,4,EGFR,TK,EGFR,NA
EIF2AK1,313,274,KEA3,0.06,1,EIF2AK1,OTHER,PEK,HRI
EIF2AK2,63,42,KEA3,0.8542857142857143,4,EIF2AK2,OTHER,PEK,PKR
EIF2AK3,335,291,KEA3,0.011428571428571429,1,EIF2AK3,OTHER,PEK,PEK
EPHA2,319,279,KEA3,0.045714285714285714,1,EPHA2,TK,EPH,NA
EPHA3,123,122,KEA3,0.5828571428571429,3,EPHA3,TK,EPH,NA
EPHA4,325,283,KEA3,0.03428571428571429,1,EPHA4,TK,EPH,NA
EPHA8,334,290,KEA3,0.014285714285714285,1,EPHA8,TK,EPH,NA
EPHB1,321,281,KEA3,0.04,1,EPHB1,TK,EPH,NA
EPHB2,288,254,KEA3,0.11714285714285715,1,EPHB2,TK,EPH,NA
EPHB3,175,175,KEA3,0.4,2,EPHB3,TK,EPH,NA
ERBB2,105,103,KEA3,0.6571428571428571,3,ERBB2,TK,EGFR,NA
ERBB4,318,278,KEA3,0.04857142857142857,1,ERBB4,TK,EGFR,NA
FASTK,237,231,KEA3,0.18857142857142858,1,FASTK,ATYPICAL,FAST,NA
FER,54,33,KEA3,0.9,4,FER,TK,FER,NA
FES,273,244,KEA3,0.1457142857142857,1,FES,TK,FER,NA
FGFR1,92.33333333333333,87,KEA3,0.7085714285714285,3,FGFR1,TK,FGFR,NA
FGFR2,111.5,112,KEA3,0.62,3,FGFR2,TK,FGFR,NA
FGFR3,202,200,KEA3,0.31142857142857144,2,FGFR3,TK,FGFR,NA
FGFR4,28.5,10,KEA3,0.9714285714285714,4,FGFR4,TK,FGFR,NA
FGR,30,12,KEA3,0.9657142857142857,4,FGR,TK,SRC,SRCA
FLT1,304,267,KEA3,0.08,1,FLT1,TK,VEGFR,NA
FLT3,238,232,KEA3,0.18571428571428572,1,FLT3,TK,PDGFR,NA
FLT4,272,243,KEA3,0.15142857142857144,1,FLT4,TK,VEGFR,NA
FRK,201.5,199,KEA3,0.32,2,FRK,TK,SRC,FRK
FYN,56,34,KEA3,0.8914285714285715,4,FYN,TK,SRC,SRCA
GRK1,329,286,KEA3,0.025714285714285714,1,GRK1,AGC,GRK,GRK
GRK2,45.333333333333336,23,KEA3,0.9314285714285714,4,GRK2,AGC,GRK,BARK
GRK3,227.5,226,KEA3,0.21142857142857144,1,GRK3,AGC,GRK,BARK
GRK5,95.33333333333333,92,KEA3,0.6885714285714286,3,GRK5,AGC,GRK,GRK
GRK6,171.66666666666666,172,KEA3,0.4114285714285714,2,GRK6,AGC,GRK,GRK
GSK3A,78.33333333333333,67,KEA3,0.7771428571428571,4,GSK3A,CMGC,GSK,NA
GSK3B,72.66666666666667,62,KEA3,0.7942857142857143,4,GSK3B,CMGC,GSK,NA
HASPIN,221,220,KEA3,0.24,1,HASPIN,OTHER,HASPIN,NA
HCK,131.33333333333334,132,KEA3,0.5485714285714286,3,HCK,TK,SRC,SRCB
HIPK1,130,131,KEA3,0.5514285714285714,3,HIPK1,CMGC,DYRK,HIPK
HIPK2,126,124,KEA3,0.5742857142857143,3,HIPK2,CMGC,DYRK,HIPK
HIPK3,289,255,KEA3,0.11428571428571428,1,HIPK3,CMGC,DYRK,HIPK
HIPK4,151.5,148,KEA3,0.48857142857142855,2,HIPK4,CMGC,DYRK,HIPK
ICK,212,211,KEA3,0.28,2,CILK1,CMGC,RCK,NA
IGF1R,58.666666666666664,38,KEA3,0.8742857142857143,4,IGF1R,TK,INSR,NA
IKBKB,8,1,KEA3,1,4,IKBKB,OTHER,IKK,NA
IKBKE,11.333333333333334,3,KEA3,0.9942857142857143,4,IKBKE,OTHER,IKK,NA
ILK,42.666666666666664,21,KEA3,0.94,4,ILK,TKL,MLK,ILK
INSR,39.666666666666664,19,KEA3,0.9457142857142857,4,INSR,TK,INSR,NA
IRAK1,166,164,KEA3,0.43714285714285717,2,IRAK1,TKL,IRAK,NA
IRAK3,250,235,KEA3,0.1742857142857143,1,IRAK3,TKL,IRAK,NA
IRAK4,202,200,KEA3,0.31142857142857144,2,IRAK4,TKL,IRAK,NA
ITK,146.66666666666666,143,KEA3,0.5142857142857142,3,ITK,TK,TEC,NA
JAK1,203.5,202,KEA3,0.3057142857142857,2,JAK1,TK,JAKA,NA
JAK2,70.33333333333333,57,KEA3,0.8085714285714286,4,JAK2,TK,JAKA,NA
JAK3,187.66666666666666,188,KEA3,0.36,2,JAK3,TK,JAKA,NA
KDR,299,262,KEA3,0.09428571428571429,1,KDR,TK,VEGFR,NA
KIT,160,155,KEA3,0.4685714285714286,2,KIT,TK,PDGFR,NA
KSR1,221,220,KEA3,0.24,1,KSR1,TKL,RAF,KSR
KSR2,210,209,KEA3,0.2857142857142857,2,KSR2,TKL,RAF,KSR
LATS1,189,190,KEA3,0.3514285714285714,2,LATS1,AGC,NDR,NA
LATS2,140.5,137,KEA3,0.5314285714285715,3,LATS2,AGC,NDR,NA
LCK,36,14,KEA3,0.96,4,LCK,TK,SRC,SRCB
LIMK1,284,251,KEA3,0.12571428571428572,1,LIMK1,TKL,LISK,LIMK
LIMK2,213,213,KEA3,0.26857142857142857,2,LIMK2,TKL,LISK,LIMK
LRRK2,38.5,16,KEA3,0.9542857142857143,4,LRRK2,TKL,LRRK,NA
