ENTREZID,L1000,SYMBOL,ALIAS
6714,SRC,SRC,ASV
6714,SRC,SRC,SRC1
6714,SRC,SRC,THC6
6714,SRC,SRC,c-SRC
6714,SRC,SRC,p60-Src
6714,SRC,SRC,SRC
23039,XPO7,XPO7,EXP7
23039,XPO7,XPO7,RANBP16
23039,XPO7,XPO7,XPO7
5300,PIN1,PIN1,DOD
5300,PIN1,PIN1,UBL5
5300,PIN1,PIN1,PIN1
51335,NGRN,NGRN,DSC92
51335,NGRN,NGRN,NGRN
1465,CSRP1,CSRP1,CRP
1465,CSRP1,CSRP1,CRP1
1465,CSRP1,CSRP1,CSRP
1465,CSRP1,CSRP1,CYRP
1465,CSRP1,CSRP1,D1S181E
1465,CSRP1,CSRP1,HEL-141
1465,CSRP1,CSRP1,HEL-S-286
1465,CSRP1,CSRP1,CSRP1
23149,FCHO1,FCHO1,FCHO1
54733,SLC35F2,SLC35F2,HSNOV1
54733,SLC35F2,SLC35F2,SLC35F2
51005,AMDHD2,AMDHD2,CGI-14
51005,AMDHD2,AMDHD2,AMDHD2
55012,PPP2R3C,PPP2R3C,C14orf10
55012,PPP2R3C,PPP2R3C,G4-1
55012,PPP2R3C,PPP2R3C,G5pr
55012,PPP2R3C,PPP2R3C,GDRM
55012,PPP2R3C,PPP2R3C,SPGF36
55012,PPP2R3C,PPP2R3C,PPP2R3C
4860,PNP,PNP,NP
4860,PNP,PNP,PRO1837
4860,PNP,PNP,PUNP
4860,PNP,PNP,PNP
56940,DUSP22,DUSP22,JKAP
56940,DUSP22,DUSP22,JSP-1
56940,DUSP22,DUSP22,JSP1
56940,DUSP22,DUSP22,LMW-DSP2
56940,DUSP22,DUSP22,LMWDSP2
56940,DUSP22,DUSP22,MKP-x
56940,DUSP22,DUSP22,MKPX
56940,DUSP22,DUSP22,VHX
56940,DUSP22,DUSP22,DUSP22
91137,SLC25A46,SLC25A46,HMSN6B
91137,SLC25A46,SLC25A46,SLC25A46
23271,CAMSAP2,CAMSAP2,CAMSAP1L1
23271,CAMSAP2,CAMSAP2,CAMSAP2
51385,ZNF589,ZNF589,SZF1
51385,ZNF589,ZNF589,ZNF589
10285,SMNDC1,SMNDC1,SMNR
10285,SMNDC1,SMNDC1,SPF30
10285,SMNDC1,SMNDC1,TDRD16C
10285,SMNDC1,SMNDC1,SMNDC1
4125,MAN2B1,MAN2B1,LAMAN
4125,MAN2B1,MAN2B1,MANB
4125,MAN2B1,MAN2B1,MAN2B1
2274,FHL2,FHL2,AAG11
2274,FHL2,FHL2,DRAL
2274,FHL2,FHL2,FHL-2
2274,FHL2,FHL2,SLIM-3
2274,FHL2,FHL2,SLIM3
2274,FHL2,FHL2,FHL2
10525,HYOU1,HYOU1,GRP-170
10525,HYOU1,HYOU1,Grp170
10525,HYOU1,HYOU1,HSP12A
10525,HYOU1,HYOU1,IMD59
10525,HYOU1,HYOU1,ORP-150
10525,HYOU1,HYOU1,ORP150
10525,HYOU1,HYOU1,HYOU1
79143,MBOAT7,MBOAT7,BB1
79143,MBOAT7,MBOAT7,LENG4
79143,MBOAT7,MBOAT7,LPIAT
79143,MBOAT7,MBOAT7,LPLAT
79143,MBOAT7,MBOAT7,LRC4
79143,MBOAT7,MBOAT7,MBOA7
79143,MBOAT7,MBOAT7,MRT57
79143,MBOAT7,MBOAT7,OACT7
79143,MBOAT7,MBOAT7,hMBOA-7
79143,MBOAT7,MBOAT7,MBOAT7
8569,MKNK1,MKNK1,MNK1
8569,MKNK1,MKNK1,MKNK1
3385,ICAM3,ICAM3,CD50
3385,ICAM3,ICAM3,CDW50
3385,ICAM3,ICAM3,ICAM-R
3385,ICAM3,ICAM3,ICAM3
54681,P4HTM,P4HTM,EGLN4
54681,P4HTM,P4HTM,HIDEA
54681,P4HTM,P4HTM,HIFPH4
54681,P4HTM,P4HTM,P4H-TM
54681,P4HTM,P4HTM,PH-4
54681,P4HTM,P4HTM,PH4
54681,P4HTM,P4HTM,PHD4
54681,P4HTM,P4HTM,P4HTM
868,CBLB,CBLB,Cbl-b
868,CBLB,CBLB,Nbla00127
868,CBLB,CBLB,RNF56
868,CBLB,CBLB,CBLB
4780,NFE2L2,NFE2L2,HEBP1
4780,NFE2L2,NFE2L2,IMDDHH
4780,NFE2L2,NFE2L2,NRF2
4780,NFE2L2,NFE2L2,Nrf-2
4780,NFE2L2,NFE2L2,NFE2L2
22841,RAB11FIP2,RAB11FIP2,Rab11-FIP2
22841,RAB11FIP2,RAB11FIP2,nRip11
22841,RAB11FIP2,RAB11FIP2,RAB11FIP2
10559,SLC35A1,SLC35A1,CDG2F
10559,SLC35A1,SLC35A1,CMPST
10559,SLC35A1,SLC35A1,CST
10559,SLC35A1,SLC35A1,hCST
10559,SLC35A1,SLC35A1,SLC35A1
2770,GNAI1,GNAI1,Gi
2770,GNAI1,GNAI1,GNAI1
3251,HPRT1,HPRT1,HGPRT
3251,HPRT1,HPRT1,HPRT
3251,HPRT1,HPRT1,HPRT1
5331,PLCB3,PLCB3,SMDCD
5331,PLCB3,PLCB3,PLCB3
501,ALDH7A1,ALDH7A1,ATQ1
501,ALDH7A1,ALDH7A1,EPD
501,ALDH7A1,ALDH7A1,PDE
501,ALDH7A1,ALDH7A1,ALDH7A1
