Name,HGNC_Symbol,hiPSC_Neuron,BloodmRNA,DISC1_RNA,gandalMicro,gandalRNAseq,hiPSC_NPC1,MtSinaiACC,MtSinaiDLPFC,MtSinaiMTA,MtSinaiTPA,Stanley,CommonMind_DLPFC,Deep_Neurons,Superficial_Neurons,Superficial_Deep_Neurons,Lewis_2017_L3,Lewis_2017_L5,Lewis_2015_L3,Lewis_2015_L5,barnesAll,barnesFemale,barnesMale,Iwamoto_BA10_SCZ,Iwamoto_BA46_SCZ,MaycoxAll,MaycoxFemale,MaycoxMale,PietersenAllParvalbumin,PietersenAllPyramidal,PietersenFemaleParvalbumin,PietersenFemalePyramidal,PietersenMaleParvalbumin,PietersenMalePyramidal
MEKK2,MAP3K2,-0.06,-0.36,-0.22,0.05,0.06,-0.04,0.11,-0.28,-0.3,-0.37,0.02,0.01,-0.02,-0.02,-0.04,-0.01,0.21,0.1,-0.09,0.1,0.19,0.03,NA,0.08,0,0.03,0,-0.13,-0.61,-0.08,-0.19,-0.18,-1.12
MEKK3,MAP3K3,-0.01,-0.18,0.47,0.01,0.02,-0.09,-0.4,0.27,0.5,0.97,0.01,0.03,-0.01,-0.02,-0.03,0.03,-0.01,0.18,0.05,0.45,0.47,0.48,-0.28,0.01,0.12,0.24,0.1,-0.12,-0.54,-0.14,0.14,-0.09,-1.4
TPL2,MAP3K8,-0.09,-0.31,-1.4,0.02,0.2,-0.14,NA,NA,NA,NA,0.02,0.04,0.11,0.12,0.23,0,0.02,0.16,0.12,0.08,0.07,0.12,0.55,-0.09,0.17,0.74,-0.15,-0.65,-0.17,-0.68,-0.37,-0.62,0.08
MEK5,MAP2K5,0.03,-0.02,-0.06,-0.02,0.03,0.01,0.26,-0.02,0.01,0.07,-0.02,-0.01,-0.01,-0.01,-0.02,-0.51,-0.46,0.08,0.08,-0.41,-0.21,-0.77,0.16,-0.15,0.1,-0.08,0.22,-0.15,-0.23,0.34,-0.28,-0.63,-0.16
ERK5,MAPK7,0.06,NA,0.06,0.03,0.06,0.01,NA,NA,NA,NA,0.01,0.04,-0.05,-0.09,-0.15,0.11,-0.23,-0.1,0.19,0.22,0.43,-0.2,-0.09,0,0.01,0.04,0,-0.34,0.54,0.45,0.74,-1.13,0.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAF1,RAF1,-0.07,-0.4,0.2,-0.01,-0.01,0.03,-0.02,0.13,-0.09,0.06,-0.01,0,-0.02,-0.01,-0.03,0.12,-0.15,-0.22,-0.1,0.35,0.5,0.25,-0.3,0.01,0.05,0.28,-0.08,-0.22,0.38,-0.36,0.65,-0.08,0.04
RAFA,ARAF,-0.05,-0.04,-0.18,0.04,0.02,-0.04,0.04,-0.14,0.02,0,0.04,0.02,NA,NA,NA,0.02,-0.08,0.02,-0.21,-0.16,-0.35,0.01,-0.07,-0.12,-0.05,-0.23,0.12,-0.64,0.18,-1.2,0.37,-0.08,-0.06
RAFB,BRAF,-0.06,0.31,0.13,-0.02,0,0.04,0.28,-0.16,-0.24,-0.22,0,-0.01,0.02,0.03,0.05,-0.38,0.28,0.06,0.11,-0.02,0.05,-0.07,0.33,-0.03,0,-0.03,0,-0.61,-0.89,-0.73,-1.2,0.58,-0.31
MEK1,MAP2K1,-0.07,0,0.01,-0.01,-0.01,0.04,0.31,-0.03,0.01,0.19,-0.09,-0.03,0.11,0.12,0.23,-0.01,-0.09,-0.17,-0.16,0.08,-0.15,0.26,-0.15,-0.03,-0.01,-0.11,-0.02,-0.37,0.75,-0.37,0.71,-0.37,0.8
