Kinase	Observed	SamplingAvg	SD	Z
PKCI	8	3.43	1.4663475330029276	3.116587232660401
DYRK	11	16.952	2.642761452353773	-2.2521896536287294
PKA	25	18.7205	2.7991601238048798	2.243351477679782
CHK1	1	4.0785	1.6061219019059203	-1.9167287341931318
PKCD	7	4.024	1.5908140509413211	1.8707403283488933
STKR	0	2.2	1.2106745501716043	-1.8171687838719053
AKT	17	12.4875	2.516547288474342	1.7931314148822155
GRK	1	3.7395	1.5283349285503205	-1.7924735925511512
NMO	1	3.474	1.4735703935857378	-1.6789153818297406
PLK	10	14.2095	2.5719481348978057	-1.6366970791062478
ERK	14	18.344	2.7458029275347546	-1.5820509026480443
JNK	11	14.979	2.552217841006911	-1.5590361982698893
TAO	1	0.3175	0.4656201789823308	1.4657869886388648
BUD32	1	0.318	0.465815942455948	1.4640975927192452
MOS	1	0.32	0.46659281437588984	1.4573734936521934
STE7	12	15.8795	2.7062227496614892	-1.4335479222784864
NDR	3	1.5735	1.0344722405208386	1.3789640206118845
BARK2	2	0.973	0.7794708380649636	1.3175605165031288
PKCH	7	4.971	1.707810677052444	1.1880708015609232
PKCA	40	37.739	1.9182593305988935	1.1786727497861842
PKG	18	14.975	2.612429404538398	1.1579260265348688
PAKA	13	10.3355	2.3596024266401114	1.1292156551110346
IKK	15	18.072	2.728468117668698	-1.1259065041320062
DMPK	35	32.296	2.4587408776346638	1.099749886047886
PEK	33	30.2415	2.5840891060979545	1.0674941485146432
RSK	29	26.056	2.7843743229287785	1.0573291011042352
PIM	25	22.175	2.67805171355787	1.0548713401231913
LKB	2	3.4845	1.4754145770213345	-1.0061578780094527
TLK	0	0.6345	0.6520140421460091	-0.9731385506846383
HAL	0	0.646	0.6707525284911259	-0.9630973757984822
NAK	0	0.607	0.6377729824856132	-0.9517493162446602
SGK	10	8.013	2.1286372514531773	0.9334610670012073
CDK	29	31.2345	2.478019378459339	-0.901728218682962
MST	6	7.8345	2.1261161621528313	-0.8628409080632967
MSN	2	1.2495	0.9108592549297315	0.8239472738934814
CAMK1	5	6.5275	1.9880190793676917	-0.7683527868786026
MLK	7	5.5865	1.8628614753755093	0.7587789101253873
CAMK2	4	5.3295	1.7775009155419235	-0.7479602335927141
RIPK	10	11.8055	2.4367270198536075	-0.7409529197523612
RAF	9	7.494	2.0654532307763014	0.7291377880456628
CAMKK	0	0.3245	0.46830482028519754	-0.6929247488897927
ATR	3	4.094	1.5837986643208637	-0.6907443633115513
BRSK	0	0.3215	0.4671689987967078	-0.6881877882053197
RAD53	12	10.3785	2.357968990228548	0.6876680765181878
ULK	0	0.3195	0.46639952214504743	-0.6850350071770387
WNK	0	0.319	0.4662056132619152	-0.6842474456024733
PASK	0	0.3185	0.4660110869567196	-0.6834601341353503
NIK	0	0.3175	0.4656201789823308	-0.6818862547880434
CLK	0	0.3165	0.465226791988587	-0.6803133556585116
KHS	0	0.3165	0.465226791988587	-0.6803133556585116
PHK	32	30.2495	2.5848772785710032	0.6772081655527287
SLK	0	0.313	0.4638303238088712	-0.6748157331105776
MAPKAPK	17	15.361	2.670439031753235	0.6137567570392871
MTOR	9	7.771	2.0441742401669387	0.6012207647718097
NUAK	1	0.61	0.6581159155339883	0.5926007725911904
PKD	12	13.476	2.517457605680421	-0.5863058018016021
TTK	1	0.626	0.6452380693070129	0.5796310196044024
PKN	1	0.6295	0.6606420922004542	0.5608180350209682
PAKB	1	0.639	0.658707786483496	0.5480427093889301
COT	1	1.5435	1.0206020597089451	-0.5325288096665171
MELK	10	8.871	2.2299877629061906	0.5062808051146662
CK1	14	12.81	2.50460306600849	0.475125186960849
PDHK	18	19.2965	2.7859412205289114	-0.4653723454200735
P38	15	16.2115	2.6399341613358644	-0.4589129599303929
MLCK	2	1.552	1.0405947427838345	0.4305230283996007
VRK1	2	1.555	1.0341710472051704	0.43029632400037204
AUR	4	3.3945	1.4835667275581368	0.4081380289490702
CK2	3	2.512	1.271087657054366	0.38392316791974607
IRAK	5	4.4165	1.672550885094865	0.3488683095981887
QIK	23	22.1695	2.726809031404083	0.3045684499483857
GSK	6	6.526	1.9352510427071599	-0.2717993626626319
ATM	1	1.24	0.9114907611730642	-0.2633049178590976
AMPK	8	7.5375	2.112303165346103	0.21895531265949664
NEK	7	6.5855	1.9479699801387498	0.21278562001785897
DAPK	7	7.431	2.0907952344398	-0.20614165983379076
PRKDC	4	3.7545	1.6095107991269437	0.1525308187637932
FRAY	6	6.2275	1.8985642003923664	-0.11982739374996315
PDK1	20	19.7135	2.667015979914361	0.10742342834001312
STE11	3	3.147	1.3936865433412728	-0.10547565426554012
MARK	2	1.89	1.1151330686875178	0.09864293606633619
