Kinase	Observed	SamplingAvg	SD	Z
BARK2	2	0.3715	0.559145841472525	2.9124780678173394
AKT	10	5.0835	1.77851322869759	2.764387647316161
BUD32	1	0.124	0.3296639791812032	2.657251187029134
TAO	1	0.134	0.3407375104468435	2.541545833519552
SGK	7	3.3695	1.5726431105551533	2.3085339424012163
PKA	12	7.624	1.9681363724066976	2.223423163837419
PKD	9	5.434	1.7992394591370149	1.9819485293582835
PDHK	4	7.8905	1.9681073327531247	-1.9767722701168435
PHK	16	12.458	1.8258978480396262	1.9398675582004028
STE7	3	6.5965	1.8890399641068996	-1.9038771377715946
PEK	9	12.34	1.8179803426503631	-1.837203583362592
FRAY	0	2.514	1.382302202736379	-1.818705052356376
ERK	4	7.501	1.931544571635899	-1.8125390692045327
TTK	1	0.2395	0.44298743654246814	1.7167529759663798
CAMK2	0	2.1555	1.2617907147795755	-1.708286465221412
NUAK	1	0.249	0.45946115426240125	1.6345233825166838
PKCH	0	2.02	1.2411165074611432	-1.627566781890734
CDK	10	12.8305	1.8396907297126044	-1.538573823461175
PLK	3	5.8405	1.852505232872207	-1.5333290020433363
PDK1	5	7.952	1.9856151020947723	-1.4866929632463597
MST	1	3.1645	1.505514210002104	-1.4377147592628667
GRK	0	1.532	1.0749668724609351	-1.4251601972559147
AUR	0	1.3865	1.0390657239989176	-1.3343717995662077
AMPK	5	3.034	1.4899509981836632	1.3195064820230118
RAD53	2	4.2015	1.6879936052028168	-1.3042111019937688
NMO	0	1.38	1.0803627130718174	-1.2773487860167052
RSK	13	10.5805	1.9479263226516652	1.2420900995405166
CAMK1	1	2.729	1.4083858758833439	-1.227646506264177
STE11	0	1.2775	1.0564335170222232	-1.209257354500545
CHK1	3	1.64	1.126958303358538	1.2067882156304772
ATR	3	1.6645	1.1377992105471688	1.1737571863472789
JNK	4	6.152	1.8906833002041445	-1.138212835416508
CK2	0	1.066	0.9375945508432125	-1.136952000244997
PKCA	14	15.471	1.3693416477541815	-1.0742388522342436
DMPK	15	13.1285	1.7625382323541965	1.061820938488389
STKR	0	0.871	0.8334904637586373	-1.0450029578889395
DYRK	5	6.9085	1.9555152185255278	-0.9759576309710453
MAPKAPK	8	6.314	1.8876402180490854	0.8931786809154316
MLCK	0	0.6405	0.7304289926177824	-0.87688195084441245
COT	0	0.6345	0.7349692782150558	-0.8633013906934244
IKK	9	7.4175	1.9758911465238806	0.8009044439437056
MSN	1	0.508	0.6634425958883101	0.7415863905169389
ATM	1	0.5225	0.6623542153208332	0.7209133556562437
IRAK	1	1.7825	1.194532211203114	-0.6550681452213651
DAPK	4	3.0635	1.4746372528570397	0.6350714375251105
RAF	4	3.1005	1.484756546037262	0.6058232256329961
PKG	5	6.118	1.870247286445359	-0.5977819126394245
PKCD	1	1.6705	1.1608632786749213	-0.5775873975145022
HAL	0	0.2745	0.48401124309433236	-0.567135586035345
MLK	3	2.271	1.2947575829472093	0.5630397609571083
PKN	0	0.2595	0.47357352749385334	-0.5479613722778627
PAKB	0	0.249	0.4627159528550029	-0.5381271133265355
TLK	0	0.248	0.4632529564404586	-0.5353446676424507
GSK	2	2.727	1.3665301688404745	-0.5320043542228361
NAK	0	0.2515	0.475774032987544	-0.5286122876878074
NEK	2	2.7455	1.4327442647116169	-0.5203301233594917
NDR	1	0.6405	0.7269965694595835	0.49450027015565723
RIPK	4	4.8425	1.7942417344663595	-0.4695576876939468
PRKDC	2	1.4975	1.106167054642466	0.45427134888085907
VRK1	1	0.6595	0.757526681600502	0.4494891180342213
LKB	1	1.44	1.058281616579441	-0.41576834852537653
CAMKK	0	0.1385	0.34551040319990317	-0.4008562367943161
KHS	0	0.1345	0.34127405994595605	-0.3941114071819562
MOS	0	0.134	0.3407375104468435	-0.393264597796328
NIK	0	0.1315	0.3380308897737315	-0.3890177021633214
WNK	0	0.1295	0.3358364826392984	-0.38560432440893594
PASK	0	0.128	0.33417336207118453	-0.3830347194841157
CLK	0	0.1275	0.33361564666521554	-0.3821763195895506
PKCI	1	1.3995	1.0461581971608038	-0.38187341176909334
SLK	0	0.1265	0.3324951526161797	-0.38045667434444375
BRSK	0	0.1165	0.3209037856115286	-0.36303716323567947
PDK	0	0.1145	0.3184972060083378	-0.3595007988767178
ULK	0	0.11	0.3129680087281184	-0.35147362328511733
P38	6	6.633	1.876718422144891	-0.3372908756746512
MELK	4	3.563	1.5694784583789794	0.27843644343570734
MARK	1	0.808	0.8303497698983153	0.2312278595844162
MTOR	3	3.2785	1.5244998523778053	-0.18268286452479213
PAKA	4	4.2305	1.7218746110237075	-0.13386572897021856
CK1	5	5.2185	1.831784776586449	-0.11928257227204216
QIK	9	9.0915	1.9557710167949283	-0.0467846180428361
PIM	9	9.0095	1.9965978442029175	-0.004758093888352248
