Kinase,Observed,SamplingAvg,SD,Z
DMPK,10,7.289,1.397660805726458,1.9396694740902545
MTOR,0,1.776,1.1421366985256447,-1.5549802421133945
AUR,2,0.7795,0.8013743509903549,1.523008564588673
PKA,2,4.2435,1.5064336763397868,-1.4892789740674668
CAMK1,0,1.503,1.0879259126409748,-1.3815278986704338
PKCA,10,8.5835,1.0370947559246373,1.3658346953428546
CK1,1,2.8905,1.4242626204482105,-1.3273535181349254
MLK,0,1.222,1.0090714110291097,-1.2110143906997952
RIPK,1,2.6665,1.3831971541264796,-1.204817400779307
PKCH,0,1.12,0.9502902323831816,-1.1785873008409362
RAF,3,1.7045,1.1540561827036058,1.1225623322471476
STE7,2,3.651,1.4769189702967496,-1.117867691596021
IRAK,0,1.0285,0.9519142925758628,-1.0804544148789883
ATR,0,0.9405,0.8845060347237498,-1.0633053513238475
PKCD,0,0.886,0.85928644036392,-1.0310880730583465
MAPKAPK,5,3.4815,1.482483264092434,1.024294868468289
GRK,0,0.887,0.876707082014185,-1.0117404298390833
PRKDC,0,0.837,0.8430814866883262,-0.9927865968066568
PKCI,0,0.791,0.8041407346730921,-0.9836586630841004
LKB,0,0.753,0.8039366623550261,-0.9366409510348565
PLK,2,3.2575,1.4543903793988202,-0.8646234311036862
AKT,4,2.8435,1.3601223166900025,0.8502911729398439
PHK,8,6.894,1.3640727059704651,0.8108072210220933
STKR,0,0.499,0.652082514566141,-0.7652405774628178
ERK,3,4.1135,1.506901830433317,-0.7389333382651794
MARK,0,0.4345,0.6139203524070119,-0.7077465314457253
RSK,7,5.9345,1.506102228257093,0.7074552975285275
SGK,1,1.83,1.2107158694170277,-0.6855448259711453
PKD,4,3.0395,1.417372294815676,0.6776624627934538
NDR,0,0.3725,0.5708823901222351,-0.652498669507465
QIK,4,5.004,1.549898413621445,-0.6477843910131399
COT,0,0.3675,0.5679833206408997,-0.6470260422177911
AMPK,1,1.742,1.175213411802997,-0.6313746869699464
PIM,6,5.0435,1.5247196906538374,0.6273284236198389
MLCK,0,0.363,0.5791361665011734,-0.6267955983357922
MST,1,1.7135,1.1623653886142362,-0.6138345196690945
VRK1,0,0.345,0.5622571178146761,-0.6135982792728546
CK2,1,0.5885,0.7031464694348819,0.5852265749563133
IKK,5,4.124,1.5075677033520236,0.5810684309913546
DAPK,1,1.688,1.1846339851782997,-0.5807701016584028
MSN,0,0.2885,0.520002837949696,-0.554804664408214
ATM,0,0.2705,0.4934080215580903,-0.5482278118337265
FRAY,2,1.4245,1.0788334861531796,0.5334465488757426
BARK2,0,0.219,0.4417426493832603,-0.49576376722002546
RAD53,3,2.3635,1.305074465185738,0.4877116340709442
NEK,2,1.4695,1.1052966073842567,0.4799616650009055
P38,3,3.7175,1.4989386773912032,-0.47867201695586226
GSK,1,1.4765,1.0733236985555386,-0.4439480844793289
PKN,0,0.1455,0.3597143967422097,-0.4044875637943203
PAKB,0,0.1455,0.3638625399432964,-0.3998762830124651
NUAK,0,0.145,0.36474857197853455,-0.39753411291911306
TLK,0,0.144,0.363772133460689,-0.3958522018442662
"NAK",0,0.138,0.3591942514227191,-0.3841932309701532
STE11,1,0.698,0.7919024907003316,0.3813600835286192
TTK,0,0.1325,0.347856654566307,-0.3809040254388562
HAL,0,0.138,0.36472251268002065,-0.37836984338027557
PDK1,4,4.4795,1.5131836016512183,-0.3168815730468921
CAMKK,0,0.075,0.2634572163605055,-0.28467620297548674
TAO,0,0.075,0.2634572163605055,-0.28467620297548674
CLK,0,0.0735,0.2610207193077859,-0.28158684182205296
PASK,0,0.0725,0.25937885167134805,-0.2795139215585039
SLK,0,0.072,0.25855255696348506,-0.2784733628071156
WNK,0,0.0715,0.2577226425447328,-0.2774300282428222
BRSK,0,0.07,0.25521082712757615,-0.2742830341010886
MOS,0,0.0695,0.254366076846983,-0.273228257720107
PKG,3,3.3775,1.408185088197326,-0.268075555666658
JNK,3,3.39,1.4727472601387257,-0.2648112208765977
BUD32,0,0.0635,0.24392109123520803,-0.2603300914998296
PDK,0,0.0635,0.24392109123520803,-0.2603300914998296
KHS,0,0.0625,0.2421219972054695,-0.2581343319539912
NMO,1,0.7905,0.8215517169428872,0.2550052488230197
PDHK,4,4.3875,1.5471071456948708,-0.25046746185504665
ULK,0,0.058,0.2338019068909253,-0.24807325471070052
PAKA,2,2.316,1.2813918145872658,-0.24660685077170008
NIK,0,0.0535,0.22508460973769484,-0.2376883966538045
CAMK2,1,1.182,0.9936647748825664,-0.18316036212666303
DYRK,4,3.854,1.5059275908736374,0.09695021253664698
CHK1,1,0.9295,0.8566777097305466,0.0822946590056307
PEK,7,6.903,1.4256953754753594,0.06803697456594358
CDK,7,7.0355,1.3954258692880606,-0.02544026220333136
MELK,2,1.994,1.2139608109099784,0.00494249892259902
