Kinase	Observed	SamplingAvg	SD	Z
ERK	7	15.4085	2.53689685892754	-3.3144824041268475
CK1	4	10.8075	2.3618282889391464	-2.882300983471452
JNK	6	12.6205	2.4997207948140954	-2.6484957895037105
P38	7	13.639	2.5149237405357554	-2.6398414763008637
DMPK	33	27.0275	2.3193605728160005	2.5750631747389847
PKCD	7	3.409	1.5012814269688015	2.3919565882131075
PLK	6	12.0375	2.5564352975804723	-2.3616869966214935
AUR	6	2.9035	1.4114474279692322	2.193847208645379
COT	3	1.306	0.9304820785212494	1.820561662715908
PKCH	7	4.173	1.6572399410197232	1.7058483385697951
RAF	3	6.3115	1.9607115914821553	-1.688927639529456
DYRK	10	14.264	2.5590190091409193	-1.6662635114349753
STKR	0	1.892	1.1370938796975485	-1.6638907602802735
BRSK	1	0.273	0.44561225874359794	1.6314631963891066
FRAY	8	5.281	1.7982368664650263	1.5120366235984306
PHK	29	25.4595	2.4183225367899075	1.4640313465794672
NMO	1	2.8975	1.4007050857938241	-1.3546748842741771
MLK	7	4.7135	1.7300041060944196	1.3216731636330628
PKA	19	15.717	2.595241537760919	1.265007496308977
RSK	25	21.7445	2.621765927440729	1.241720309935487
MTOR	9	6.634	1.9646816502918474	1.2042663500463486
MAPKAPK	10	12.8665	2.5795357629573945	-1.111246465803446
MSN	2	1.0505	0.8702461802312628	1.0910705747052818
IRAK	2	3.683	1.5870634471225769	-1.0604490973888665
RAD53	11	8.6735	2.2289867520850106	1.0437477916025182
PAKA	11	8.727	2.222597797732474	1.022677158376989
CDK	24	26.278	2.354248764175488	-0.9676122738872104
PKG	15	12.6245	2.4999249113285664	0.9502285405594678
CHK1	2	3.387	1.5222975053672734	-0.911122822647843
PIM	21	18.6715	2.5686351810536805	0.9065125391005598
TTK	0	0.536	0.6090069332301243	-0.8801213430479332
SGK	5	6.779	2.0308178427804098	-0.87600175777673694
PAKB	0	0.5385	0.6210560403881854	-0.8670715120384554
HAL	0	0.531	0.6150025317484705	-0.863411079772877
NAK	0	0.5345	0.6237020539697324	-0.8569797014424112
AMPK	8	6.3215	1.9897530773074148	0.8435720085787676
TLK	0	0.522	0.626667660070383	-0.8329774029529026
NUAK	0	0.513	0.6205026283231022	-0.8267491168995912
NEK	4	5.4765	1.8756883678870309	-0.7871776704907979
PKCI	4	2.903	1.4119446851406567	0.7769426178977527
PKN	1	0.5185	0.6211687977817856	0.7751516201706404
GRK	2	3.1255	1.4549254805924043	-0.7735791385973448
MST	8	6.5555	1.9861752682223313	0.7272772061515285
PKCA	33	31.7275	1.8278167870723674	0.6961857495784229
PEK	27	25.3525	2.451580892900991	0.6720153533463423
PKD	13	11.378	2.4195129719657955	0.6703828492732421
LKB	2	2.885	1.3702969958839084	-0.6458453916620693
PDK1	15	16.5605	2.556092047105628	-0.610502271139657
CAMKK	0	0.2675	0.4427660453167595	-0.6041565355550869
NIK	0	0.267	0.4425029993708812	-0.6033857406155468
SLK	0	0.2645	0.44117691296606526	-0.5995327321680248
PASK	0	0.26	0.4387439436893255	-0.5926007725911904
ULK	0	0.258	0.4376434232145406	-0.5895210262842767
BUD32	0	0.2575	0.43736643069324455	-0.588751175054408
MOS	0	0.257	0.43708869038403503	-0.5879813540226689
TAO	0	0.257	0.43708869038403503	-0.5879813540226689
CLK	0	0.2535	0.43512344938891084	-0.582593285551529
WNK	0	0.251	0.43369695240255224	-0.578745132077905
KHS	0	0.248	0.4319598299001004	-0.5741274600866361
STE7	12	13.346	2.58836508570728	-0.520019377263467
MARK	1	1.5475	1.0641005144968572	-0.5145190633225816
MLCK	1	1.358	0.9850488112678936	-0.3634337668396399
DAPK	7	6.289	1.9619897303122984	0.3623872179426889
NDR	1	1.309	0.9617595805321477	-0.3212861158388755
PDHK	17	16.183	2.5431761386966922	0.3212518344949124
BARK2	1	0.7645	0.7472074072536536	0.3151735351039623
IKK	16	15.2065	2.5998533359950025	0.3052095243273851
CAMK1	5	5.5435	1.8321534169035998	-0.2966454637398941
MELK	8	7.3945	2.0820752312619053	0.29081562035249725
VRK1	1	1.2845	0.9838921546012769	-0.28915770765068644
CAMK2	5	4.5025	1.7264078289894305	0.28817061162843316
STE11	3	2.6165	1.3621143225566115	0.28154758646116607
GSK	5	5.52	1.870654878601988	-0.27797751789930136
ATR	3	3.4185	1.5094691114757035	-0.2772497938635269
QIK	18	18.618	2.613329436824352	-0.2364799444309538
AKT	11	10.4865	2.2898557748764152	0.22424993121137263
PRKDC	3	3.118	1.4550376515003458	-0.08109755776994877
CK2	2	2.078	1.2035947491411219	-0.06480586597412476
RIPK	10	9.8955	2.3405808914572312	0.04464703628975573
ATM	1	1.026	0.8739026564363237	-0.02975159739875959
